subject,F0_Hz,shimmer_pct,jitter_pct
S1,156.6676230798748,3.426751034860825,1.6622169726219285
S2,255.44669710125393,0.8967187309096613,0.4988489392576302
S3,168.2542869276812,1.8127453325228684,0.6846622674030722
S4,193.0742246957202,1.205028648311482,1.196221226044304
S5,183.958366489609,5.80887410615106,0.528593919166752
S6,212.92453722359815,0.37506757196176943,1.0091369601481717
S7,211.1664086435828,1.9861452560357646,2.14181840168558
S8,138.58451082546378,1.8817891962938373,1.3118409858482625
S9,248.18602638432205,3.151669075583361,1.3249782417468228
S10,222.57938073169828,1.2974883793439411,0.1796568955886057
S11,185.15059309572405,2.334128784123774,1.2925548886799663
S12,184.0316015994441,3.0605357414837537,1.248074791993199
S13,224.8962213298395,2.060334179500785,1.3080901418068094
S14,198.41877799262883,3.6729903651995173,1.5592354427090436
S15,225.961384748204,3.1275194351908477,0.2827968050096459
S16,195.1865212385273,2.6087750439808137,1.2041438051891347
S17,211.42961000896432,2.0577246696233606,1.107758167892065
S18,151.6701637366617,1.8709335649881291,0.07200689700424724
S19,165.79939135692013,1.6194607159882157,1.7178205120203696
S20,158.7063466667439,1.1725498096068272,0.45964088480582793
S21,142.60918437878206,1.6849819854215589,1.541035260135227
S22,165.29438219923117,3.043048422795664,0.6335650294674007
S23,189.2987617459976,3.8760998963531152,0.4941578924875736
S24,152.9354231996453,1.037853489944438,1.4405853468812362
S25,197.16892655751383,2.377230552962632,1.0536112992400757
S26,164.10823924885997,5.469522770305785,1.817930158932473
S27,148.61043275657826,1.3941033597150727,0.13524337903482422
S28,192.2343276161844,3.7901565178990726,1.320757172959975
S29,217.48939310901255,5.441641323944365,0.8029610230927823
S30,174.56591810456644,1.4412004382737749,0.9849453173455552
S31,123.70920234602639,2.0268824728530617,1.7520651438337391
S32,193.29012900542045,1.797868252786967,0.6602967680833819
S33,129.07340196811364,2.265847689298094,1.506248681892145
S34,170.3395297569124,2.1062732294699575,2.3766219890328686
S35,203.11911643468838,2.6105663729852346,1.622594559851664
S36,171.12456476609555,1.8712869448432203,1.048985795530038
S37,235.22668794051995,1.9862180032210301,1.7521628398290663
S38,179.74746324660694,1.9962539698374842,2.1506831992348068
S39,198.04916268085591,3.125064779023622,1.7555917314481255
S40,240.30626346560203,1.8598507743787305,1.5337319623293972
