grp,f2,grp3,y,x,c2,c3
G1,T1,H1,82.35,Take_1,81.45,84.6
G1,T1,H2,86.3,Take_2,82.9,85.2
G1,T1,H3,90.25,Take_3,80.6,85.8
G1,T1,H1,89.4,Take_4,82.05,83.4
G1,T1,H2,89.6,Take_5,83.5,84
G1,T1,H3,93.55,Take_6,81.2,84.6
G1,T1,H1,82.2,Take_7,82.65,85.2
G1,T1,H2,86.14999999999999,Take_8,84.1,82.8
G1,T1,H3,90.10000000000001,Take_9,81.8,83.4
G1,T2,H1,85.5,Take_10,83.25,84
G1,T2,H2,89.44999999999999,Take_11,84.7,84.6
G1,T2,H3,93.4,Take_12,82.4,82.2
G1,T2,H1,92.55,Take_13,83.85,82.8
G1,T2,H2,86,Take_14,85.3,83.4
G1,T2,H3,86.2,Take_15,83,84
G1,T2,H1,85.35,Take_16,84.45,81.6
G1,T2,H2,89.3,Take_17,85.9,82.2
G1,T2,H3,93.25,Take_18,83.6,82.8
G2,T1,H1,92.4,Take_19,85.05,83.4
G2,T1,H2,92.6,Take_20,86.5,81
G2,T1,H3,86.05,Take_21,84.2,81.6
G2,T1,H1,85.2,Take_22,85.65,82.2
G2,T1,H2,89.14999999999999,Take_23,87.1,82.8
G2,T1,H3,93.10000000000001,Take_24,84.8,80.4
G2,T1,H1,88.5,Take_25,86.25,81
G2,T1,H2,92.44999999999999,Take_26,87.7,81.6
G2,T1,H3,96.4,Take_27,85.4,82.2
G2,T2,H1,85.05,Take_28,86.85,79.8
G2,T2,H2,89,Take_29,88.3,80.4
G2,T2,H3,89.2,Take_30,86,81
G2,T2,H1,88.35,Take_31,87.45,81.6
G2,T2,H2,92.3,Take_32,88.9,79.2
G2,T2,H3,96.25,Take_33,86.6,79.8
G2,T2,H1,95.4,Take_34,88.05,80.4
G2,T2,H2,85.1,Take_35,89.5,81
G2,T2,H3,89.05,Take_36,87.2,78.6
