5	1	1	OK	0.0000	0.0000	0.4078	0.5686	0.6902	0.8549	0.8549	0.8549	0.8549	0.8549	0.8549	0.6902	0.5686	0.4078	0.0000	0.0000
5	9	2	OK	0.0000	0.0000	0.5098	0.7137	0.7137	0.7137	0.7137	0.7137	0.7137	0.7137	0.7137	0.7137	0.7137	0.5098	0.0000	0.0000
5	17	3	OK	0.4275	0.4275	0.4275	0.4275	0.5490	0.7137	0.7137	0.7137	0.7137	0.8353	0.8549	0.8549	0.8549	0.6118	0.0000	0.0000
6	1	1	OK	0.0000	0.0980	0.4431	0.5412	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.5412	0.4431	0.0980	0.0000
6	9	2	OK	0.0000	0.0000	0.0000	0.2941	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.1451	0.0000
6	17	3	OK	0.2196	0.2431	0.3333	0.4314	0.5529	0.6275	0.6667	0.7647	0.7882	0.8863	0.9255	1.0000	1.0000	1.0000	0.2196	0.0000
8	1	1	OK	0.0000	0.2196	0.3882	0.4980	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6078	0.4980	0.3333	0.1098	0.0000	0.0000
8	9	2	OK	0.0000	0.0000	0.2196	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.2196	0.0000	0.0000
8	17	3	OK	0.2471	0.3020	0.3608	0.4157	0.4980	0.5529	0.6078	0.6667	0.8314	0.8863	0.9137	0.9137	0.0000	0.0000	0.0000	0.0000
10	1	1	OK	0.0000	0.0000	0.2275	0.4784	0.6275	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6275	0.4784	0.2275	0.0000	0.0000
10	9	2	OK	0.0000	0.0000	0.0000	0.5333	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.5765	0.0000	0.0000
10	17	3	OK	0.1333	0.1922	0.2549	0.3176	0.4275	0.5098	0.5725	0.6353	0.6941	0.7843	0.8667	0.8667	0.6902	0.0000	0.0000	0.0000
12	1	1	OK	0.0000	0.0471	0.2941	0.4902	0.6157	0.6667	0.6667	0.6667	0.6667	0.6667	0.6275	0.5059	0.3176	0.0706	0.0000	0.0000
12	9	2	OK	0.0000	0.0000	0.2196	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.2196	0.0000	0.0000
12	17	3	OK	0.1725	0.2314	0.2941	0.3569	0.4471	0.5333	0.5961	0.6588	0.7255	0.7882	0.8510	0.8863	0.3922	0.0000	0.0000	0.0000
16	1	1	OK	0.0000	0.0000	0.0549	0.3333	0.5255	0.5804	0.6667	0.6667	0.6667	0.6667	0.6353	0.5804	0.4706	0.2471	0.0000	0.0000
16	9	2	OK	0.0000	0.0000	0.0000	0.4157	0.6235	0.6235	0.6235	0.6235	0.6235	0.6235	0.6235	0.6235	0.6235	0.2078	0.0000	0.0000
16	17	3	OK	0.0275	0.1373	0.2196	0.2745	0.3451	0.4275	0.5137	0.5686	0.6510	0.7333	0.8039	0.8588	0.5804	0.0000	0.0000	0.0000
22	1	1	OK	0.0000	0.0000	0.1137	0.3804	0.5294	0.6157	0.6667	0.6667	0.6667	0.6667	0.6157	0.5294	0.3804	0.1137	0.0000	0.0000
22	9	2	OK	0.0000	0.0000	0.0000	0.3647	0.6039	0.6039	0.6039	0.6039	0.6039	0.6039	0.6039	0.6039	0.6039	0.0549	0.0000	0.0000
22	17	3	OK	0.0471	0.1373	0.2039	0.2941	0.3569	0.4196	0.4863	0.5725	0.6353	0.7216	0.8000	0.8706	0.1059	0.0000	0.0000	0.0000
30	1	1	OK	0.0000	0.0000	0.0863	0.3804	0.5216	0.6039	0.6627	0.6667	0.6667	0.6627	0.6039	0.5216	0.3804	0.0863	0.0000	0.0000
30	9	2	OK	0.0000	0.0000	0.0000	0.4941	0.6196	0.6196	0.6196	0.6196	0.6196	0.6196	0.6196	0.6196	0.6196	0.0941	0.0000	0.0000
30	17	3	OK	0.0471	0.1255	0.1882	0.2706	0.3569	0.4196	0.4863	0.5686	0.6275	0.6902	0.7843	0.8549	0.0745	0.0000	0.0000	0.0000
