kind	population	k	df	target	q	oracle	port	absErr	relErr	pass	r_value	r_absErr	r_relErr	r_pass	scipy_value	scipy_absErr	scipy_relErr	scipy_pass	r_in_verified_domain	bucket
forward	acceptance	2	3	0.1	3.32815848668967	0.1	0.0999999999999998	1.94289029309402e-16	1.94289029309402e-15	TRUE	0.100000000000146	1.45619627467397e-13	1.45619627467397e-12	TRUE	0.0999999999999999	1.52655665885959e-16	1.52655665885959e-15	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	2	3	1e-04	39.5981636096537	0.000100000000000304	0.000100000000000304	1.49077798716757e-19	1.49077798716304e-15	TRUE	3.65953661619622e-05	6.34046338383418e-05	0.63404633838149	FALSE	9.9999999999989e-05	3.15069151324288e-16	3.1506915132333e-12	TRUE	FALSE	[1e-2,1e-5)
forward	acceptance	2	10	0.1	2.56320710115422	0.100000000000002	0.100000000000002	4.16333634234434e-17	4.16333634234426e-16	TRUE	0.0999999999678979	3.21040555251173e-11	3.21040555251167e-10	TRUE	0.1	1.84574577843932e-15	1.84574577843929e-14	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	2	10	1e-04	8.78375240703147	0.000100000000001965	0.000100000000001964	8.13151629364128e-20	8.13151629348153e-16	TRUE	9.9999858768407e-05	1.41233557563857e-10	1.41233557561083e-06	FALSE	9.9999999999989e-05	1.97557898859446e-15	1.97557898855565e-11	TRUE	FALSE	[1e-2,1e-5)
forward	acceptance	2	45	0.1	2.37506899570984	0.100000000000001	0.100000000000001	5.13478148889135e-16	5.1347814888913e-15	TRUE	0.0999999999994284	5.72611402738232e-13	5.72611402738226e-12	TRUE	0.1	1.06858966120171e-15	1.0685896612017e-14	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	2	45	1e-04	6.0372143280064	0.000100000000001077	0.000100000000001077	3.79470760369927e-19	3.79470760365841e-15	TRUE	0.000100000000371803	3.70725938012365e-13	3.70725938008373e-09	TRUE	0.0001000000000001	9.76730632137879e-16	9.76730632127362e-12	TRUE	TRUE	[1e-2,1e-5)
forward	acceptance	2	200	0.1	2.33699936824044	0.0999999999998741	0.0999999999998742	1.2490009027033e-16	1.24900090270487e-15	TRUE	0.0999999999999284	5.4303783691978e-14	5.43037836920464e-13	TRUE	0.1	1.26024191082763e-13	1.26024191082922e-12	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	2	200	1e-04	5.61513049726388	9.99999998600967e-05	9.99999998600971e-05	3.25260651745651e-19	3.25260652200702e-15	TRUE	9.99999999232726e-05	6.31758507270083e-14	6.31758508153934e-10	TRUE	9.9999999999989e-05	1.39892261728607e-13	1.3989226192432e-09	TRUE	TRUE	[1e-2,1e-5)
forward	acceptance	3	3	0.1	4.46736353064999	0.1	0.1	5.55111512312578e-17	5.55111512312576e-16	TRUE	0.100000798664548	7.98664548093408e-07	7.98664548093405e-06	FALSE	0.1	4.02455846426619e-16	4.02455846426618e-15	TRUE	FALSE	[0.5,1e-2)
forward	acceptance	3	3	1e-04	50.4271375969528	0.000100000000000542	0.000100000000000543	2.71050543121376e-19	2.71050543119906e-15	TRUE	4.14155801609084e-06	9.58584419844514e-05	0.958584419839316	FALSE	9.9999999999989e-05	5.53281921146509e-16	5.53281921143509e-12	TRUE	FALSE	[1e-2,1e-5)
forward	acceptance	3	10	0.1	3.27030840795008	0.100000000000001	0.100000000000002	6.38378239159465e-16	6.38378239159458e-15	TRUE	0.100000000000342	3.41310313345389e-13	3.41310313345385e-12	TRUE	0.0999999999999999	1.19348975147204e-15	1.19348975147203e-14	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	3	10	1e-04	9.89829792001799	0.000100000000001351	0.000100000000001352	1.62630325872826e-18	1.62630325870629e-14	TRUE	9.99999946120766e-05	5.38927416419716e-12	5.38927416412436e-08	FALSE	9.9999999999989e-05	1.36182569127757e-15	1.36182569125918e-11	TRUE	FALSE	[1e-2,1e-5)
forward	acceptance	3	45	0.1	2.97813007863529	0.0999999999999973	0.0999999999999974	1.11022302462516e-16	1.11022302462519e-15	TRUE	0.099999999999322	6.75293154728251e-13	6.7529315472827e-12	TRUE	0.1	2.72004641033163e-15	2.72004641033171e-14	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	3	45	1e-04	6.50753231502584	9.99999999969229e-05	9.99999999969216e-05	1.27393755267047e-18	1.27393755270967e-14	TRUE	0.000100000000395561	3.98638546760151e-13	3.98638546772417e-09	TRUE	9.9999999999989e-05	3.06608308620754e-15	3.06608308630188e-11	TRUE	TRUE	[1e-2,1e-5)
forward	acceptance	3	200	0.1	2.91914381503322	0.0999999999999726	0.099999999999982	9.43689570931383e-15	9.43689570931642e-14	TRUE	0.10000000000064	6.67688127009569e-13	6.67688127009752e-12	TRUE	0.1	2.74225087082414e-14	2.74225087082489e-13	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	3	200	1e-04	5.9993294098385	9.99999999693803e-05	9.99999999693883e-05	8.00954354923666e-18	8.00954355168916e-14	TRUE	0.000100000000032519	6.31382560166774e-14	6.31382560360101e-10	TRUE	9.9999999999989e-05	3.06087213951603e-14	3.06087214045326e-10	TRUE	TRUE	[1e-2,1e-5)
forward	acceptance	4	3	0.1	5.19900310047309	0.1	0.0999999999999959	4.42701431069281e-15	4.4270143106928e-14	TRUE	0.100000000001161	1.16118226145545e-12	1.16118226145545e-11	TRUE	0.0999999999999999	4.44089209850063e-16	4.44089209850061e-15	TRUE	TRUE	[0.5,1e-2)
forward	acceptance	4	3	1e-04	57.5947262535806	0.000100000000000456	0.000100000000000454	2.54787510534094e-18	2.54787510532931e-14	TRUE	0	0.000100000000000456	1	FALSE	9.9999999999989e-05	4.67372451504189e-16	4.67372451502056e-12	TRUE	FALSE	[1e-2,1e-5)
forward	acceptance	4	10	0.1	3.70408476342264	0.100000000000002	0.100000000000007	5.44009282066327e-15	5.44009282066317e-14	TRUE	0.100000000007018	7.0166233934188e-12	7.01662339341867e-11	TRUE	0.1	1.87350135405495e-15	1.87350135405492e-14	TRUE	TRUE	[0.5,1e-2)
