scatter8	0	OK	1	0	d527930d6be52e4fa4b6de58cdb37f6de91d98e1deaff6f96b2d80f474445cd5
scatter8	1	OK	2	2	93dfe51a05cdd7b86b8ea7a52882910c788416d2fdac01e2d25d11bbf867af78
scatter21	0	OK	2	0	73a8651603d3c53582b61788bc755ce5c49a846adab4cefda9176bdb1904c0ce
scatter21	1	OK	2	2	dc0915942464cd9313e87c67d3fa81bb17f07411760c2123e3b0cb38565a9b7b
barmix	0	OK	5	0	f9ee585282fa06f7b186d276179c31376bfd0bbff0ada8f1d25431b699cf26b1
barmix	1	OK	5	5	dfd7ee891595fc5a725d66af775d3b7682d61bb2dcdd302cae786dc1eda1d5a3
barzero	0	OK	3	0	ec81fcee0dedfabc905642d03417ce12993d8cfdc95809fbc48d2ca921bd2d14
barzero	1	OK	3	3	d970564536060a0112315690a227df70b21bb26a9d49c49762edfcfdc97dd7b2
gviolin25	0	OK	1	0	9c228f174295324ca38952e19941e80e95c5eab8be1dd44f4a7ca10076646e6f
gviolin25	1	OK	1	1	cc8d570ae35f5bfee6879085589fe9bdd9556d257b9cd38a21ed6b813adc6d17
gbox25	0	OK	1	0	3699acd6f3ac3eb0a2f46613349a81dd7a2110d8f8d3aaef14c5d95bf3f81963
gbox25	1	OK	1	1	e82c880368e2393d9f1d3190d2e8bf874dcb1740cc7a3c67910e08d47397bc57
