group,jitter_pct,.fitted,.resid,.std.resid
G1,1.67,1.8258333333333332,-0.15583333333333327,-0.6647548949689093
G1,1.84,1.8258333333333332,0.014166666666666883,0.0604322631789927
G1,2.01,1.8258333333333332,0.1841666666666666,0.7856194213268928
G1,2.18,1.8258333333333332,0.35416666666666696,1.5108065794747958
G1,1.5,1.8258333333333332,-0.3258333333333332,-1.3899420531168103
G1,1.67,1.8258333333333332,-0.15583333333333327,-0.6647548949689093
G1,1.84,1.8258333333333332,0.014166666666666883,0.0604322631789927
G1,2.01,1.8258333333333332,0.1841666666666666,0.7856194213268928
G1,2.18,1.8258333333333332,0.35416666666666696,1.5108065794747958
G1,1.5,1.8258333333333332,-0.3258333333333332,-1.3899420531168103
G1,1.67,1.8258333333333332,-0.15583333333333327,-0.6647548949689093
G1,1.84,1.8258333333333332,0.014166666666666883,0.0604322631789927
G2,2.57,2.725833333333333,-0.15583333333333327,-0.6647548949689093
G2,2.7399999999999998,2.725833333333333,0.01416666666666666,0.06043226317899175
G2,2.91,2.725833333333333,0.18416666666666703,0.7856194213268947
G2,3.08,2.725833333333333,0.35416666666666696,1.5108065794747958
G2,2.4,2.725833333333333,-0.3258333333333332,-1.3899420531168103
G2,2.57,2.725833333333333,-0.15583333333333327,-0.6647548949689093
G2,2.7399999999999998,2.725833333333333,0.01416666666666666,0.06043226317899175
G2,2.91,2.725833333333333,0.18416666666666703,0.7856194213268947
G2,3.08,2.725833333333333,0.35416666666666696,1.5108065794747958
G2,2.4,2.725833333333333,-0.3258333333333332,-1.3899420531168103
G2,2.57,2.725833333333333,-0.15583333333333327,-0.6647548949689093
G2,2.7399999999999998,2.725833333333333,0.01416666666666666,0.06043226317899175
G3,3.47,3.6258333333333335,-0.15583333333333327,-0.6647548949689093
G3,3.64,3.6258333333333335,0.01416666666666666,0.06043226317899175
G3,3.8100000000000005,3.6258333333333335,0.18416666666666703,0.7856194213268947
G3,3.9800000000000004,3.6258333333333335,0.35416666666666696,1.5108065794747958
G3,3.3000000000000003,3.6258333333333335,-0.3258333333333332,-1.3899420531168103
G3,3.47,3.6258333333333335,-0.15583333333333327,-0.6647548949689093
G3,3.64,3.6258333333333335,0.01416666666666666,0.06043226317899175
G3,3.8100000000000005,3.6258333333333335,0.18416666666666703,0.7856194213268947
G3,3.9800000000000004,3.6258333333333335,0.35416666666666696,1.5108065794747958
G3,3.3000000000000003,3.6258333333333335,-0.3258333333333332,-1.3899420531168103
G3,3.47,3.6258333333333335,-0.15583333333333327,-0.6647548949689093
G3,3.64,3.6258333333333335,0.01416666666666666,0.06043226317899175
