sex,register,jitter_pct,.fitted,.resid,.std.resid
S1,R1,2.2800000000000002,2.408571428571429,-0.12857142857142856,-0.6419407387663694
S1,R1,2.46,2.408571428571429,0.05142857142857116,0.2567762955065464
S1,R1,2.64,2.408571428571429,0.23142857142857132,1.1554933297794643
S1,R1,2.1,2.408571428571429,-0.3085714285714287,-1.5406577730392874
S1,R1,2.2800000000000002,2.408571428571429,-0.12857142857142856,-0.6419407387663694
S1,R1,2.46,2.408571428571429,0.05142857142857116,0.2567762955065464
S1,R1,2.64,2.408571428571429,0.23142857142857132,1.1554933297794643
S1,R2,2.68,2.8085714285714287,-0.12857142857142856,-0.6419407387663694
S1,R2,2.86,2.8085714285714287,0.05142857142857116,0.2567762955065464
S1,R2,3.04,2.8085714285714287,0.23142857142857132,1.1554933297794643
S1,R2,2.5,2.8085714285714287,-0.3085714285714287,-1.5406577730392874
S1,R2,2.68,2.8085714285714287,-0.12857142857142856,-0.6419407387663694
S1,R2,2.86,2.8085714285714287,0.05142857142857116,0.2567762955065464
S1,R2,3.04,2.8085714285714287,0.23142857142857132,1.1554933297794643
S2,R1,2.98,3.108571428571429,-0.128571428571429,-0.6419407387663716
S2,R1,3.1599999999999997,3.108571428571429,0.05142857142857071,0.2567762955065442
S2,R1,3.34,3.108571428571429,0.23142857142857087,1.155493329779462
S2,R1,2.8,3.108571428571429,-0.30857142857142916,-1.5406577730392896
S2,R1,2.98,3.108571428571429,-0.128571428571429,-0.6419407387663716
S2,R1,3.1599999999999997,3.108571428571429,0.05142857142857071,0.2567762955065442
S2,R1,3.34,3.108571428571429,0.23142857142857087,1.155493329779462
S2,R2,3.3800000000000003,3.508571428571428,-0.12857142857142767,-0.6419407387663649
S2,R2,3.56,3.508571428571428,0.051428571428572045,0.25677629550655084
S2,R2,3.74,3.508571428571428,0.2314285714285722,1.1554933297794687
S2,R2,3.2,3.508571428571428,-0.30857142857142783,-1.540657773039283
S2,R2,3.3800000000000003,3.508571428571428,-0.12857142857142767,-0.6419407387663649
S2,R2,3.56,3.508571428571428,0.051428571428572045,0.25677629550655084
S2,R2,3.74,3.508571428571428,0.2314285714285722,1.1554933297794687
