f0_hz,jitter_pct,.fitted,.resid,.std.resid,.hat,.cooksd
113.5,0.9500000000000001,112.72357019064125,0.7764298093587456,0.1452316020901367,0.15437306771795506,0.0019252404998344789
117,1.1,121.12478336221838,-4.1247833622183805,-0.7540823718789113,0.11475930193434526,0.036858198709263185
120.5,1.25,129.52599653379548,-9.025996533795478,-1.6216352955441333,0.08339840402232085,0.11963369367159445
124,1.04,117.76429809358753,6.235701906412473,1.1496822961053885,0.12961446410319896,0.09841640459741532
127.5,1.1900000000000002,126.16551126516465,1.3344887348353467,0.241283451431098,0.09495241904254034,0.0030539343654371427
131,1.34,134.56672443674177,-3.566724436741765,-0.6356770595028547,0.06854324185346716,0.014867742301847625
134.5,1.49,142.9679376083189,-8.467937608318891,-1.4946951966957795,0.05038693253597934,0.059271582131607936
138,1.28,131.20623916811093,6.793760831889074,1.217084073999351,0.07811656858450622,0.06275933188961638
141.5,1.4300000000000002,139.60745233968805,1.8925476603119478,0.33516667140451,0.05665911211838421,0.003373593590210641
145,1.5799999999999998,148.00866551126518,-3.0086655112651783,-0.5291385794748317,0.043454523523847634,0.006359723414464681
148.5,1.73,156.4098786828423,-7.909878682842304,-1.3875356229733866,0.038502802800896394,0.038548067464964
152,1.52,144.64818024263434,7.351819757365661,1.295885952547538,0.04774601481707202,0.04210056247839171
155.5,1.6700000000000002,153.04939341421147,2.4506065857885346,0.43010222863588105,0.03949314694548663,0.0038030730150345306
159,1.82,161.45060658578856,-2.450606585788563,-0.430102228635886,0.03949314694548663,0.0038030730150346186
162.5,1.97,169.8518197573657,-7.351819757365689,-1.2958859525475428,0.047746014817072,0.04210056247839202
166,1.76,158.0901213171577,7.909878682842304,1.3875356229733866,0.03850280280089639,0.038548067464963996
169.5,1.9100000000000001,166.49133448873485,3.00866551126515,0.5291385794748267,0.04345452352384762,0.0063597234144645584
173,2.06,174.89254766031195,-1.8925476603119478,-0.33516667140451,0.05665911211838421,0.003373593590210641
176.5,2.21,183.29376083188907,-6.793760831889074,-1.217084073999351,0.07811656858450616,0.06275933188961634
180,2,171.5320623916811,8.467937608318891,1.4946951966957795,0.05038693253597932,0.059271582131607915
183.5,2.15,179.93327556325823,3.566724436741765,0.6356770595028547,0.06854324185346714,0.01486774230184762
187,2.3000000000000003,188.33448873483536,-1.334488734835361,-0.24128345143110058,0.0949524190425404,0.0030539343654372095
190.5,2.4499999999999997,196.7357019064125,-6.235701906412487,-1.149682296105391,0.12961446410319885,0.09841640459741567
194,2.24,184.97400346620452,9.025996533795478,1.6216352955441333,0.08339840402232085,0.11963369367159445
197.5,2.3899999999999997,193.3752166377816,4.124783362218409,0.7540823718789165,0.11475930193434515,0.03685819870926365
201,2.5400000000000005,201.77642980935877,-0.776429809358774,-0.145231602090142,0.15437306771795517,0.0019252404998346215
