x,y
0.4,5.03886503284085
0.8,4.247432058326312
1.2000000000000002,6.350536668084812
1.6,6.597883013592225
2,8.159381120584769
2.4000000000000004,6.499317819198206
2.8000000000000003,8.781830075878851
3.2,8.614161895896709
3.6,10.576130519322199
4,11.344315254714608
4.4,11.78626403407149
4.800000000000001,13.432005517252872
5.2,13.219472063526982
5.6000000000000005,17.067598387314003
6,12.410989168074218
6.4,14.547477809536854
6.800000000000001,17.043990875781954
7.2,14.64661592515098
7.6000000000000005,16.586786226122754
8,17.349481342894574
8.4,19.363084016969335
8.8,17.452057863139245
9.200000000000001,18.81636618926929
9.600000000000001,20.648182219895173
10,20.7976906988396
60,105.5
