anova_spl_augment.csv	4954
anova_spl_effectsize_tidy.csv	242
anova_spl_glance.csv	305
anova_spl_posthoc_tidy.csv	370
anova_spl_tidy.csv	180
collide.log	2907
collide.outputs.tsv	411
declared.log	2908
declared.outputs.tsv	221
describe_spl.csv	1293
example.anova_by_voice_type_augment.csv	4954
example.anova_by_voice_type_effectsize_tidy.csv	242
example.anova_by_voice_type_glance.csv	305
example.anova_by_voice_type_posthoc_tidy.csv	370
example.anova_by_voice_type_tidy.csv	180
example.log	3434
fresh.log	25
fresh.outputs.tsv	99
legacy.log	1702
legacy.outputs.tsv	113
loop.log	6732
loop.outputs.tsv	503
loop_SPL_dB_augment.csv	4954
loop_SPL_dB_effectsize_tidy.csv	242
loop_SPL_dB_glance.csv	305
loop_SPL_dB_posthoc_tidy.csv	370
loop_SPL_dB_tidy.csv	180
loop_vibrato_rate_Hz_augment.csv	4987
loop_vibrato_rate_Hz_effectsize_tidy.csv	241
loop_vibrato_rate_Hz_glance.csv	306
loop_vibrato_rate_Hz_posthoc_tidy.csv	378
loop_vibrato_rate_Hz_tidy.csv	182
nofolder.log	2908
nofolder.outputs.tsv	70
normality_spl_glance.csv	193
normality_spl_tidy.csv	103
partial.log	1968
partial.outputs.tsv	199
twice_1_augment.csv	4954
twice_1_effectsize_tidy.csv	242
twice_1_glance.csv	305
twice_1_posthoc_tidy.csv	370
twice_1_tidy.csv	180
twice_augment.csv	4954
twice_effectsize_tidy.csv	242
twice_glance.csv	305
twice_posthoc_tidy.csv	370
twice_tidy.csv	180
