singer,voice_type,SPL_dB,vibrato_rate_Hz,.fitted,.resid,.std.resid
Singer_1,Soprano,98.0340347084519,6.174772098543467,93.88770695556899,4.146327752882911,1.0158295867082137
Singer_2,Soprano,92.5729030548189,4.797218296397444,93.88770695556899,-1.3148039007500927,-0.3221203876545142
Singer_3,Soprano,90.98272238284767,5.879742675695982,93.88770695556899,-2.904984572721318,-0.711706708628966
Singer_4,Soprano,92.18844306001826,6.174510937059183,93.88770695556899,-1.6992638955507289,-0.4163111658322954
Singer_5,Soprano,94.20597419962805,5.834217987998455,93.88770695556899,0.31826724405905793,0.07797388490827413
Singer_6,Soprano,92.23369751674821,4.449964794036776,93.88770695556899,-1.654009438820779,-0.4052240499995621
Singer_7,Soprano,93.75443841747115,6.07361417309673,93.88770695556899,-0.13326853809783756,-0.032650126098451034
Singer_8,Soprano,93.31818696808875,7.055488601279325,93.88770695556899,-0.5695199874802341,-0.13952955192745242
Singer_9,Soprano,96.05101007128395,5.966093714518593,93.88770695556899,2.1633031157149674,0.5299984566905952
Singer_10,Soprano,95.70284017454394,5.91351467209776,93.88770695556899,1.8151332189749496,0.44469857125251283
Singer_11,Soprano,97.24687903832054,6.070832221921035,93.88770695556899,3.359172082751556,0.8229803797181019
Singer_12,Soprano,90.34959540967547,5.802249703117605,93.88770695556899,-3.538111545893514,-0.866819654305814
Singer_13,Soprano,91.42180152036129,5.41926772460028,93.88770695556899,-2.465905435207702,-0.6041345133333735
Singer_14,Soprano,99.7279365967753,4.878487643626814,93.88770695556899,5.840229641206307,1.4308270875554192
Singer_15,Soprano,90.5251412145015,5.4344160204371175,93.88770695556899,-3.3625657410674847,-0.8238118090526745
Singer_16,Mezzo,78.28472614879199,5.8022026122849395,87.82074765448188,-9.536021505689888,-2.336277632232598
Singer_17,Mezzo,90.8706003934909,6.393151291735992,87.82074765448188,3.049852739009026,0.7471986856886422
Singer_18,Mezzo,83.45750260022629,6.809169519290416,87.82074765448188,-4.363245054255586,-1.0689732419462872
Singer_19,Mezzo,86.2329947278319,6.660494159180309,87.82074765448188,-1.5877529266499835,-0.38899153549841337
Singer_20,Mezzo,91.41215532144896,5.519543606218254,87.82074765448188,3.5914076669670862,0.8798769377310509
Singer_21,Mezzo,86.63983340490634,4.74718723342329,87.82074765448188,-1.1809142495755367,-0.2893180919550027
Singer_22,Mezzo,91.47897793058841,4.979616967381303,87.82074765448188,3.6582302761065364,0.8962481431616142
Singer_23,Mezzo,89.12637023261608,4.479200669605132,87.82074765448188,1.305622578134205,0.3198710094784047
Singer_24,Mezzo,89.4660224643356,4.8952240513209375,87.82074765448188,1.645274809853717,0.4030841095359817
Singer_25,Mezzo,89.11701525827792,6.622492804196587,87.82074765448188,1.2962676037960392,0.3175790874978045
Singer_26,Mezzo,87.43766447548167,5.211274322620847,87.82074765448188,-0.3830831790002094,-0.09385346518448286
Singer_27,Mezzo,87.95214159401847,6.477328805196967,87.82074765448188,0.1313939395365935,0.03219085881539838
Singer_28,Mezzo,91.59336484493448,4.275735144073655,87.82074765448188,3.772617190452607,0.9242723657629764
Singer_29,Mezzo,82.86474725594447,4.96314245756826,87.82074765448188,-4.956000398537412,-1.214195340219206
Singer_30,Mezzo,91.37709816433464,5.026660046680692,87.82074765448188,3.556350509852763,0.8712881093641068
Singer_31,Alto,77.77551808911602,4.618922984242282,85.14700593990696,-7.371487850790942,-1.8059776995890178
Singer_32,Alto,87.11724641263129,5.238324176214889,85.14700593990696,1.9702404727243277,0.4826990735915102
Singer_33,Alto,83.19961013717884,5.3748779261670325,85.14700593990696,-1.9473958027281242,-0.47710224356171005
Singer_34,Alto,89.90364511762743,5.864056016875842,85.14700593990696,4.756639177720473,1.1653528370168704
Singer_35,Alto,92.70728674922609,4.799372161861753,85.14700593990696,7.560280809319124,1.8522310313237704
Singer_36,Alto,87.25998605934778,5.2763331345974676,85.14700593990696,2.11298011944082,0.5176695739891389
Singer_37,Alto,90.09188647004873,5.493269650183039,85.14700593990696,4.9448805301417735,1.2114710280109544
Singer_38,Alto,79.03203193637898,5.198219948058889,85.14700593990696,-6.114974003527976,-1.4981380838541518
Singer_39,Alto,88.47071444968651,5.013090900036236,85.14700593990696,3.32370850977955,0.8142919814962534
Singer_40,Alto,81.26534424113156,4.177177909358892,85.14700593990696,-3.881661698775403,-0.9509877255763266
Singer_41,Alto,81.20102940641975,5.367907928937989,85.14700593990696,-3.9459765334872117,-0.9667445387995645
Singer_42,Alto,83.5244210741524,5.2113923321117674,85.14700593990696,-1.6225848657545612,-0.39752518657803365
Singer_43,Alto,84.52028477151727,5.021662829113999,85.14700593990696,-0.6267211683896932,-0.15354355550497387
Singer_44,Alto,77.73550825444009,4.537183657691613,85.14700593990696,-7.41149768546687,-1.8157799092177316
Singer_45,Alto,93.40057592970166,5.205111572694245,85.14700593990696,8.253569989794698,2.0220834172530084
