grp,val
zulu,211.89085653424263
zulu,213.64467477798462
zulu,210.57308626174927
zulu,212.54044580459595
zulu,212.46798753738403
zulu,205.9733567237854
zulu,204.52051210403442
zulu,210.00908172130585
zulu,211.9119119644165
zulu,213.8315782546997
zulu,206.47168827056885
zulu,211.46047687530518
zulu,214.86929416656494
zulu,207.1940507888794
alfa,219.83275699615479
alfa,219.63728046417236
alfa,214.55494785308838
alfa,214.06311547756195
alfa,221.68513703346252
alfa,222.34004020690918
alfa,214.23730278015137
alfa,213.57798612117767
alfa,217.1180489063263
alfa,216.78671097755432
alfa,221.1401150226593
alfa,220.5581293106079
alfa,214.937237739563
alfa,219.7971658706665
