singer,voice_type,SPL_dB,vibrato_rate_Hz,.fitted,.resid,.std.resid,.hat
Singer_1,Soprano,93.89029513029249,6.067847734055152,92.02902934853438,1.8612657817581066,0.46489663134666903,0.06666666666666667
Singer_2,Soprano,86.03401590830809,6.601484814021258,92.02902934853438,-5.995013440226288,-1.4974011667514866,0.06666666666666667
Singer_3,Soprano,95.96112614799975,6.689288026846217,92.02902934853438,3.93209679946537,0.9821373036116139,0.06666666666666667
Singer_4,Soprano,95.07377132829075,5.0149424866413845,92.02902934853438,3.044741979756367,0.7604987442317266,0.06666666666666667
Singer_5,Soprano,94.14089232988171,5.418255143111299,92.02902934853438,2.111862981347329,0.5274894082922021,0.06666666666666667
Singer_6,Soprano,92.57483546228805,6.063712708829383,92.02902934853438,0.5458061137536703,0.13632842022852762,0.06666666666666667
Singer_7,Soprano,96.29177359361358,6.571413157304015,92.02902934853438,4.262744245079205,1.0647245864896429,0.06666666666666667
Singer_8,Soprano,88.90036681024098,5.608231781128361,92.02902934853438,-3.1286625382933977,-0.7814599553317042,0.06666666666666667
Singer_9,Soprano,87.16428862882461,5.69753361474963,92.02902934853438,-4.864740719709772,-1.2150879230325662,0.06666666666666667
Singer_10,Soprano,84.01730360898844,5.526599327465856,92.02902934853438,-8.011725739545938,-2.001124366059165,0.06666666666666667
Singer_11,Soprano,93.96271350664196,5.748885903303331,92.02902934853438,1.9336841581075817,0.48298489125153077,0.06666666666666667
Singer_12,Soprano,88.1112334071802,5.5519619166810195,92.02902934853438,-3.9177959413541856,-0.9785653146853593,0.06666666666666667
Singer_13,Soprano,97.24161404755543,5.2975177885254965,92.02902934853438,5.2125846990210505,1.3019704606050804,0.06666666666666667
Singer_14,Soprano,87.55941867195598,6.577272577087626,92.02902934853438,-4.469610676578398,-1.1163945350188853,0.06666666666666667
Singer_15,Soprano,99.51179164595364,5.7526203746926035,92.02902934853438,7.4827622974192565,1.8690028148221627,0.06666666666666667
Singer_16,Mezzo,85.73273086932589,5.475545085837676,87.11023807745433,-1.377507208128435,-0.344066101139924,0.06666666666666667
Singer_17,Mezzo,80.27748857382234,4.83525338975554,87.11023807745433,-6.832749503631987,-1.706646228715208,0.06666666666666667
Singer_18,Mezzo,92.5165952121566,5.71886098382562,87.11023807745433,5.406357134702276,1.350369863569954,0.06666666666666667
Singer_19,Mezzo,83.60717142833947,6.8605280250883975,87.11023807745433,-3.5030666491148565,-0.87497653506425,0.06666666666666667
Singer_20,Mezzo,90.01147949300949,4.714993025509727,87.11023807745433,2.9012414155551625,0.7246559701651067,0.06666666666666667
Singer_21,Mezzo,87.99845774687935,5.919016123176114,87.11023807745433,0.8882196694250268,0.22185457673943962,0.06666666666666667
Singer_22,Mezzo,85.33511264951736,5.336477943377972,87.11023807745433,-1.7751254279369704,-0.44338097210716504,0.06666666666666667
Singer_23,Mezzo,91.94415429351743,5.423350000635208,87.11023807745433,4.833916216063102,1.2073887496803681,0.06666666666666667
Singer_24,Mezzo,86.19029709227752,5.030745315887909,87.11023807745433,-0.9199409851768081,-0.22977775083924892,0.06666666666666667
Singer_25,Mezzo,86.90485801637656,6.049357806808094,87.11023807745433,-0.2053800610777614,-0.05129869117920163,0.06666666666666667
Singer_26,Mezzo,89.28492844306136,4.7930737395296426,87.11023807745433,2.1746903656070344,0.543182083451722,0.06666666666666667
Singer_27,Mezzo,93.21036064021777,5.058670710845505,87.11023807745433,6.100122562763445,1.5236547397071836,0.06666666666666667
Singer_28,Mezzo,79.63564692447855,5.841185121475545,87.11023807745433,-7.474591152975776,-1.8669618717374878,0.06666666666666667
Singer_29,Mezzo,90.22342242754843,4.968330963315563,87.11023807745433,3.1131843500941017,0.7775938994337628,0.06666666666666667
Singer_30,Mezzo,83.78086735128672,6.80909881947647,87.11023807745433,-3.3293707261676104,-0.8315917319650654,0.06666666666666667
