r03_identical,analysis,n,10
r03_identical,analysis,n.excluded,0
r03_identical,analysis,mean,7.5
r03_identical,analysis,sd,0
r03_identical,analysis,median,7.5
r03_identical,analysis,skewness,NA
r03_identical,analysis,kurtosis,NA
r03_identical,analysis,statistic,NA
r03_identical,analysis,p.value,NA
r03_identical,analysis,sw.usable,0
r03_identical,analysis.shapiro,refused,1
r03_identical,analysis,output.chars,1331
r03_identical,wizard,n.available,10
r03_identical,wizard,n,10
r03_identical,wizard,skewness,NA
r03_identical,wizard,kurtosis,NA
r03_identical,wizard,recommendation.code,1
r03_identical,wizard,output.chars,187

