grp,val
Cohort 1,212.2999036461115
Cohort 1,215.5152370929718
Cohort 1,209.88399147987366
Cohort 1,213.4908173084259
Cohort 1,213.35797715187073
Cohort 1,201.45115399360657
Cohort 1,198.7876055240631
Cohort 1,208.8499831557274
Cohort 1,212.33850526809692
Cohort 1,215.85789346694946
Cohort 1,202.36476182937622
Cohort 1,211.51087427139282
Cohort 2,224.7603726387024
Cohort 2,210.68909311294556
Cohort 2,217.36005449295044
Cohort 2,217.00168085098267
Cohort 2,207.68407106399536
Cohort 2,206.78237837553024
Cohort 2,220.75608456134796
Cohort 2,221.9567403793335
Cohort 2,207.10172176361084
Cohort 2,205.8929745554924
Cohort 2,212.3830896615982
Cohort 2,211.77563679218292
Cohort 3,226.75687754154205
Cohort 3,225.6899037361145
Cohort 3,215.38493585586548
Cohort 3,224.29480409622192
Cohort 3,228.46946573257446
Cohort 3,214.90113878250122
Cohort 3,210.35096281766891
Cohort 3,211.7259292975068
Cohort 3,221.59103110432625
Cohort 3,230.8933265209198
Cohort 3,220.59793639183044
Cohort 3,227.9253146648407
