value,grp
12.329927843017922,G1
9.784124433436153,G1
8.828532646168387,G1
15.535797814245868,G1
12.160422753691904,G1
8.77346289245742,G1
12.257417546300147,G2
14.331278832210524,G2
13.449483190507207,G2
12.79635978259234,G2
13.664977783426135,G2
10.335552245346975,G2
15.247494280520561,G3
8.458662671834006,G3
11.307077916877411,G3
14.946872269032948,G3
12.014275964345144,G3
10.073945081282384,G3
13.690315838041498,G4
12.526103148610682,G4
11.49014525283028,G4
14.871691004146777,G4
12.737504410171114,G4
12.340600418025298,G4
12.113939165491173,G5
15.168449858873299,G5
13.671469501794146,G5
12.229026393466219,G5
11.739602293794949,G5
13.949918278870038,G5
