value,grp
8.978101002282338,G1
11.68397560592703,G1
14.109552538133512,G1
9.922447014374306,G1
9.872464384470849,G1
8.033303162660177,G1
10.059942166060615,G1
11.181537656070443,G1
11.446102886586898,G1
10.785745805147403,G1
8.57921301373202,G1
10.139328052664098,G1
8.446963989611199,G1
10.18751762681846,G1
9.798336543198339,G1
9.124234119002805,G1
7.839414960049327,G1
8.993589080705988,G1
6.623998122862622,G1
12.409953828684447,G1
10.693700041258152,G1
7.775379217934789,G1
7.125418736498681,G1
9.281552351877519,G1
9.256761551837746,G1
11.328306063214495,G1
7.572062016584955,G1
9.123580711961349,G1
7.8735938082649515,G1
8.07599309903137,G1
7.9011383514932465,G2
8.359427996017626,G2
11.248130783499498,G2
9.792386014628669,G2
11.344728403104433,G2
11.91710929586405,G2
14.439792568886526,G2
9.411521738655306,G2
8.404039573024285,G2
10.410294316906354,G2
10.283693925648246,G2
10.993325001434354,G2
14.75340761724934,G3
9.67425236865751,G3
16.146354190687536,G3
14.694529054409472,G3
13.102961236605712,G3
