value,grp
5.8518163758312784,G1
11.59777327554332,G1
9.824942626341874,G1
9.739603130065815,G1
10.253125389256187,G1
9.238259334330188,G1
8.659000843033075,G1
16.25024784543362,G1
11.010749218138535,G1
9.331980819015294,G1
8.329546529351587,G1
10.773518426930645,G1
9.558715928388219,G1
12.05512565768415,G1
13.031894028547562,G1
9.584093265924214,G1
13.010821087180597,G1
8.876859946033354,G1
10.065172740701588,G1
10.743385436867724,G1
9.260999316913173,G1
11.404176965557829,G1
8.20890104216842,G1
7.121175053553728,G1
13.152740020133816,G1
11.622452277148204,G1
5.30638812402474,G1
9.192481136775058,G1
8.822054449472247,G1
6.799967268261701,G1
15.463684213951836,G2
11.732090849606701,G2
11.140748061689346,G2
11.320975496934793,G2
13.668245499545357,G2
