singer,practice_hrs_wk,vibrato_regularity_pct,experience_yrs
S1,19.09383005264504,99.76932549783811,15
S2,8.725468225372955,61.89053101628272,9
S3,11.606122385878106,65.00569890642862,9
S4,1.133698913567292,50.870438729327574,1
S5,6.929325839267383,63.37594054067464,7
S6,10.427964511198574,80.46243352586976,8
S7,8.80005471153456,67.89166245611526,3
S8,7.13537972933408,49.918228454159745,9
S9,13.70130984242818,85.49527137684333,8
S10,16.3117750748058,91.12137210738227,16
S11,11.843603417785687,75.45115828680386,9
S12,18.56328999043873,97.63571310568997,7
S13,17.293886235118656,98.57350077096812,15
S14,3.9334500201722893,47.07151275505038,7
S15,15.270872396480604,86.12599123209579,13
S16,15.729513780101536,100,15
S17,12.512430727273127,70.77269833687686,9
S18,9.116646702023546,72.11428138276004,6
S19,7.005487024818884,62.67433647537776,5
S20,15.060137669445245,92.28885416487586,12
S21,15.098025833436083,96.59600922005,11
S22,16.198916984696474,91.74323797619165,17
S23,5.984493961138888,63.45728155192926,3
S24,8.521929243068527,67.2216392891973,9
S25,9.94560778394681,66.26958024869697,10
