singer,voice_type,SPL_dB,vibrato_rate_Hz
Singer_1,Soprano,89.67870702901388,5.037382009972681
Singer_2,Soprano,85.92319742867288,6.433047887382753
Singer_3,Soprano,92.31094893075537,4.997455101898662
Singer_4,Soprano,101.21213563576504,4.977511056201137
Singer_5,Soprano,94.15462472240613,6.708790095148004
Singer_6,Soprano,89.21669786262153,5.779639584083855
Singer_7,Soprano,93.21142408290558,5.947838512963395
Singer_8,Soprano,95.70049913207612,5.560897976515816
Singer_9,Soprano,91.43341626140679,6.4823070273462235
Singer_10,Soprano,89.26571507958919,5.802713151672812
Singer_11,Soprano,92.5689812364927,5.356547247083463
Singer_12,Soprano,90.50560094561328,4.953304505948085
Singer_13,Soprano,96.42826310891493,6.549606153378034
Singer_14,Soprano,97.18865841058857,5.901680350713219
Singer_15,Soprano,92.63507477536467,4.904514656895164
Singer_16,Mezzo,85.50050900372648,6.448625784708387
Singer_17,Mezzo,93.90503443277859,5.296745281803939
Singer_18,Mezzo,83.73300488286478,5.0586542090090765
Singer_19,Mezzo,80.26207123689183,5.30779237325549
Singer_20,Mezzo,84.24699420596622,4.843868003709219
Singer_21,Mezzo,87.78444337201124,5.310069306218984
Singer_22,Mezzo,83.91433501020188,5.884216107362866
Singer_23,Mezzo,83.34914952824424,6.357313669307694
Singer_24,Mezzo,90.04591410908448,5.985219032442065
Singer_25,Mezzo,86.49254548055924,5.04705625211928
Singer_26,Mezzo,91.00126671677485,5.857030463670996
Singer_27,Mezzo,91.49394342322564,4.436081124082333
Singer_28,Mezzo,87.85769825207475,5.356570956639095
Singer_29,Mezzo,86.0628066589909,6.0903137108398715
Singer_30,Mezzo,92.84182331967271,4.681301861557696
Singer_31,Alto,81.7655091930345,5.352802227979139
Singer_32,Alto,89.25223593728404,5.46355292632318
Singer_33,Alto,83.99898137602719,4.49424383991825
Singer_34,Alto,79.99138276998143,5.60637294959505
Singer_35,Alto,89.14725608053666,5.020375812591312
Singer_36,Alto,92.41798522150047,5.23321815231316
Singer_37,Alto,88.96669527819462,5.320846521691661
Singer_38,Alto,81.65729616863769,5.2593950785299155
Singer_39,Alto,80.9413494230843,5.125640197979477
Singer_40,Alto,83.85381023151122,5.763549693290398
Singer_41,Alto,85.77386702298969,5.0805544107167355
Singer_42,Alto,88.22852868836385,5.739112746513788
Singer_43,Alto,75.19634145925214,4.835400514197254
Singer_44,Alto,87.41385215367279,5.2314496937415
Singer_45,Alto,86.19302083621115,5.2727245473779645
