praat_version	Praat 6.6.30 (June 30 2026)
plugin_root	/home/claude/repo/plugin
harness_root	/home/claude/repo/harness/roundtrip
record_stamp	21 August 2026, 00:00:00
recorder_source	/home/claude/repo/plugin/stats/eml-record.praat
recorder_source_sha	83d6fc0e29d1e4da2b20b74fdd374a56e02ece8cf68d1a780612ff35fa42e057
recorder_is_shipped	1
stage_scripts_linked	30
stage_stats_linked	14
savepanel_range	3170-3820
stanza_dmo_1	40-52|Create Demo Table
stanza_edt_1	158-160|EML Table Editor — 
stanza_edt_2	165-167|Add Column
stanza_edt_3	185-188|EML Table Editor — 
stanza_edt_4	221-234|EML Table Editor — 
stanza_edt_5	265-273|Nothing was written
stanza_edt_6	385-396|Find / Replace
stanza_edt_7	477-479|Find
stanza_edt_8	494-497|Rep Nxt
stanza_edt_9	501-504|Found
stanza_edt_10	563-565|Rep All
stanza_edt_11	581-593|Table Structure
stanza_edt_12	609-612|Insert Row
stanza_edt_13	626-628|Cannot Delete
stanza_edt_14	630-633|Delete Row
stanza_edt_15	656-658|Add Column
stanza_edt_16	686-690|Insert Column
stanza_edt_17	734-739|Delete Column
stanza_edt_18	759-761|Cannot Rename
stanza_edt_19	777-783|Rename Column
stanza_edt_20	1134-1152|Cannot Open the Table Editor
stanza_edt_21	1185-1211|Cannot Use That Column Name
stanza_edt_22	1242-1263|Cannot Delete Column
stanza_anv_1	47-63|Compare k Groups (ANOVA)
stanza_anv_2	100-102|Analysis complete
stanza_out_1	3340-3444|
stanza_out_2	3485-3502|Cannot save there
stanza_out_3	3714-3718|Figure format not available
stanza_out_4	3807-3812|Saved
stanza_out_5	3814-3816|Nothing saved
input_csv	/home/claude/repo/harness/roundtrip/out/data/rt_input.csv
input_csv_sha	c6ffb44c86c0f3afbcfe7dcc68af13522883ce794a240b0edd113bc9b8d925cd
input_csv_rows	24
edit_target_cell	row 1, column f0_Hz
edit_new_value	4242
other_csv	/home/claude/repo/harness/roundtrip/out/data/rt_other.csv
other_csv_sha	91af435122921ffbef294b40cb940ac7b2ca850c6f774a68cf6f7313cb91b9df
other_csv_rows	24
other_csv_shape_matches	1
other_csv_values_differ	48
twin_dmo_source	eml-create-demo.praat
twin_dmo_source_sha	6720fb8bb3f04d7dc86fb71ef31405397123227f53694c7b27cc7b8e933733d6
twin_dmo_stanzas	1
twin_dmo_body_sha_shipped	08ea585d9f2f3aefcb5cebbd6323716b0c860e9ae3c0ba4010a812dd87f26d7b
twin_dmo_body_sha_twin	08ea585d9f2f3aefcb5cebbd6323716b0c860e9ae3c0ba4010a812dd87f26d7b
twin_dmo_body_identical	1
twin_edt_source	eml-edit-table.praat
twin_edt_source_sha	6aa4dac0cbb8247a6e42b2c4f3556627ed566f15a6e6fbd896b2e729508dde31
twin_edt_stanzas	22
