value,grp
1.235609407136836,G1
0.6806031904509557,G1
1.0912151892722994,G1
0.3066627466519104,G1
0.643691232149987,G1
0.3472219271266372,G1
0.1591680633329565,G1
1.5195352322916602,G1
0.47239424338253666,G1
0.16474084179441595,G1
2.3345939878000053,G1
0.24197196240693658,G1
0.9539565719325566,G1
1.9187134493423526,G1
0.14374039140794315,G1
8.184240570526937,G2
0.57805744424733,G2
0.8417636103444103,G2
2.557788669613574,G2
0.8893373625643968,G2
1.4750447910260758,G2
2.241599249699703,G2
0.9986915198623824,G2
0.2236436151675063,G2
1.622111112853079,G2
5.115522839749075,G2
0.45206083118874685,G2
1.779996252781989,G2
1.2335119414468754,G2
1.3676118621285769,G2
5.271044654195061,G3
9.476043847569171,G3
1.6091949089755269,G3
3.1315533356276166,G3
3.732968361299984,G3
4.633664635233349,G3
9.112752440285705,G3
0.8562117011804571,G3
0.05899940268630012,G3
1.4230384700827081,G3
0.4838347717564274,G3
1.5391084288087082,G3
3.3587258094355112,G3
0.3761764894757429,G3
1.01845018889796,G3
