value,grp
1000009.8377833993,G1
1000007.1026595803,G1
1000011.9651854151,G1
1000011.8264343222,G1
1000011.6535284938,G1
1000011.755202525,G1
1000009.330584482,G1
1000007.9891389685,G1
1000008.4725277975,G1
1000009.9721487801,G1
1000010.8050136121,G1
1000010.2153802614,G1
1000011.2795186264,G2
1000014.2537637838,G2
1000011.4916465926,G2
1000011.4699279377,G2
1000009.8067912998,G2
1000008.575228808,G2
1000011.7527040904,G2
1000012.6438204745,G2
1000009.1721973072,G2
1000012.4742054086,G2
1000010.834270524,G2
1000011.9705670801,G2
1000015.2553987268,G3
1000015.8989964664,G3
1000013.7946280782,G3
1000015.8938093964,G3
1000011.2482767879,G3
1000012.9016362259,G3
1000015.0818635948,G3
1000012.2169076616,G3
1000010.5382179024,G3
1000016.7019160115,G3
1000011.2122789893,G3
1000016.313636108,G3
