value,grp
12.26477505473475,G1
9.812386763877186,G1
12.184227780141352,G1
11.46313835598704,G1
12.93230186764128,G1
9.032196365330343,G1
11.70305012646475,G1
10.290269826494512,G1
12.42688419887033,G1
12.57385875785768,G1
12.177106723452482,G1
13.786675862088119,G1
13.299120105878304,G2
18.579330645523335,G2
9.684981946790364,G2
12.112463015894757,G2
15.139984792969923,G2
10.0110265419183,G2
12.111310376871259,G2
12.249135571490953,G2
14.471806694948889,G2
10.153429771898743,G2
11.293943648782145,G2
13.213637033158623,G2
14.329484498065998,G3
13.840024030365909,G3
12.53302779688661,G3
17.025007060969088,G3
12.07371793520798,G3
11.797532438991242,G3
11.899679026728611,G3
11.270775771626937,G3
10.46879936994982,G3
16.42499248385931,G3
13.12613596437907,G3
14.446663492971544,G3
