value,grp
9.23950221324683,G1
10.552965287346034,G1
10.262864049551554,G1
9.602473096073682,G1
9.26324209248669,G1
11.699197956884658,G1
11.58457965900971,G1
9.107336969834199,G1
9.889224010308943,G1
11.377170383891476,G1
9.830049931499358,G1
8.531398260539099,G1
11.037770588322356,G1
8.929579016228558,G1
10.439884835311219,G1
11.226733064650318,G2
11.652590831683057,G2
10.332156047857508,G2
10.151087923732105,G2
9.456765475069156,G2
10.132806075927933,G2
13.017945916322503,G2
11.162005419158772,G2
10.057971079170407,G2
10.981362102596353,G2
11.30356825311797,G2
9.7968385707918,G2
10.527889257400869,G2
11.7539023412161,G2
10.394856922419057,G2
17.644458218393062,G3
12.153494101583226,G3
13.366405827068004,G3
14.218119749404512,G3
8.755445468685373,G3
6.329272909014838,G3
12.837609621292348,G3
16.513436775210987,G3
16.127618718582667,G3
10.04338517538229,G3
17.357390281200303,G3
15.450759462851346,G3
16.53021290750232,G3
13.976094708415076,G3
11.556152797186808,G3
