--run--	praat_version	Praat 6.6.30 (June 30 2026)
--run--	source_tree	/home/claude/EMLPraatTools
--run--	legs_requested	subjects4 subjects_ci meas2 meas2_rep meas3_refuse none_refuse seven script_refuse long_meas2 long_meas3_refuse long_titled wide_titled rec_subjects4 rec_meas2 rec_long_meas2
--run--	code_sha256_eml-graphs-form	d68985c0b986fc5e6f5bddaf29b8b60797ef02546482bd072fe398e5e1ebd59d
--run--	code_sha256_eml-graph-procedures	eee6eb1dbfa261c8de4a384991a8d84d80c6cb4d5af0075f8ce4ea8fb0d71c15
--run--	code_sha256_eml-draw-procedures	9f9e6982ff2a6c01e78e4c31355280151865b880c6595ae6d7800c385495376c
--run--	code_sha256_eml-record	631d406dd11c452128c49f1d520bc4a16b88eda2f50da8e43869cfcd370d135e
--run--	compositor	running
subjects4	leg_started	1
subjects4	ink_empty	0.000704286
subjects4	s1_title	EML Graphs
subjects4	s1_want	EML Graphs
subjects4	s1_shown	Graph type: Line Chart (+Cl) v
subjects4	s1_shown	Title (blank = auto from table and
subjects4	s1_shown	columns):
subjects4	s1_shown	Subtitle:
subjects4	s1_shown	Colormode: Color v
subjects4	s1_shown	Figure width (inches): ¢
subjects4	s1_shown	Figure height (inches): | 4
subjects4	s1_shown	Erase page first
subjects4	s1_shown	Panel origin x (inches):
subjects4	s1_shown	Panel origin y (inches):
subjects4	s1_shown	Untick Erase to add this figure to the page already drawn.
subjects4	s1_shown	On a composed page a legend inside the plot is not
subjects4	s1_shown	given axis room — use Right of plot or Below plot.
subjects4	s1_shown	Undo Quit Continue
subjects4	s2_title	Line Chart -- What the lines are
subjects4	s2_want	Line Chart -- What the lines are
subjects4	s2_shown	What do the columns beside the time ~~'~~-~+-!-!>
subjects4	s2_shown	The other columns hold: The same measurement, on different subjects or groups w
subjects4	s2_shown	Same measurement: four singers' FO — one shared vertical axis.
subjects4	s2_shown	Different measurements: FO and contact quotient — each its own scale.
subjects4	s2_shown	Undo Go Back Quit Continue
subjects4	s3_title	Line Chart -- Column Mapping
subjects4	s3_want	Line Chart -- Column Mapping
subjects4	s3_shown	[-] Select columns from your Table.
subjects4	s3_shown	Time column: time v
subjects4	s3_shown	Every numeric column is drawn. Untick any you do not want.
subjects4	s3_shown	Series 1 (S1)
subjects4	s3_shown	Series 2 (S2)
subjects4	s3_shown	Series 3 (S3)
subjects4	s3_shown	Series 4 (S4)
subjects4	s3_shown	Y axis label:
subjects4	s3_shown	Line style: Solid Vv
subjects4	s3_shown	Undo Go Back Quit Advanced Draw
subjects4	s4_title	Graph Complete
subjects4	s4_want	Graph Complete
subjects4	s4_ink	0.00583286
subjects4	s4_shown	| Graph has been drawn in the Picture window.
subjects4	s4_shown	What would you like to do?
subjects4	s4_shown	Done Save Redraw
subjects4	steps	4
subjects4	wait_seconds	0
subjects4	windows_at_exit	[Praat Objects][Praat Picture][Praat Info]
subjects4	exited	no
subjects4	leg_object	1
subjects4	leg_returned	subjects4
subjects4	series_role	subjects
subjects4	n_series	4
subjects4	series_cols	S1,S2,S3,S4
subjects4	time_col	time
subjects4	value_col	eml_value
subjects4	group_col	eml_series
subjects4	right_col	
subjects4	second_axis	0
subjects4	ci_accepted	0
subjects4	repeats_found	0
subjects4	max_per_point	1
subjects4	ci_offered	0
subjects4	shape	1
subjects4	level_mode	0
subjects4	level_name_col	
subjects4	long_value_col	
subjects4	n_numeric	4
subjects4	n_text	0
subjects4	y_label	
subjects4	axis_y_min	50
subjects4	axis_y_max	722.7071716977504
subjects4	drawn_union	0 6 0 4
subjects4	vars_written	24
subjects4	fig_png_md5	290d24858462fcc7f6c755361e618939
subjects4	fig_png_bytes	100428
subjects4	fig_png_px	1800x1200
subjects4	fig_chromatic_colours	4
subjects4	fig_colour_#0073B3	11620
subjects4	fig_colour_#009E73	11617
subjects4	fig_colour_#CC78A6	11608
subjects4	fig_colour_#E69E00	11607
subjects4	fig_chromatic_bands	3451,2511,4805,549,13146,13483,13016,9766,4844,1127
subjects4	fig_chromatic_bands_nonempty	10
subjects4	fig_figtext	Line Chart (+Cl): It subjects4
subjects4	fig_figtext	700
subjects4	fig_figtext	es
subjects4	fig_figtext	@ s2
subjects4	fig_figtext	600. @s3
subjects4	fig_figtext	@ s4
subjects4	fig_figtext	500
subjects4	fig_figtext	- SESSSSarres
subjects4	fig_figtext	300
subjects4	fig_figtext	200
subjects4	fig_figtext	a a on
subjects4	fig_figtext	2 4 6 8 10 12
subjects4	fig_figtext	Time
subjects4	info	NOTE: on-figure box backgrounds are drawn as a stipple screen on this platform — Praat draws no image here, so the 70% white sprite macOS and Windows use is replaced by a white lattice of about the same coverage. Data under the box shows through the gaps instead of being erased.
subjects4	info	NOTE: The legend needs y-axis room, so the figure is drawn again on the widened axis. Any notes above this line describe the first, discarded pass and are repeated below.
subjects4	info_lines	2
subjects4	display_clear	yes
subjects_ci	leg_started	1
subjects_ci	ink_empty	0.000704286
subjects_ci	s1_title	EML Graphs
subjects_ci	s1_want	EML Graphs
subjects_ci	s1_shown	Graph type: Line Chart (+Cl) v
subjects_ci	s1_shown	Title (blank = auto from table and
subjects_ci	s1_shown	columns):
subjects_ci	s1_shown	Subtitle:
subjects_ci	s1_shown	Colormode: Color v
subjects_ci	s1_shown	Figure width (inches): ¢
subjects_ci	s1_shown	Figure height (inches): | 4
subjects_ci	s1_shown	Erase page first
subjects_ci	s1_shown	Panel origin x (inches):
subjects_ci	s1_shown	Panel origin y (inches):
subjects_ci	s1_shown	Untick Erase to add this figure to the page already drawn.
subjects_ci	s1_shown	On a composed page a legend inside the plot is not
subjects_ci	s1_shown	given axis room — use Right of plot or Below plot.
subjects_ci	s1_shown	Undo Quit Continue
subjects_ci	s2_title	Line Chart -- What the lines are
subjects_ci	s2_want	Line Chart -- What the lines are
subjects_ci	s2_shown	What do the columns beside the time ~~'~~-~+-!-!>
subjects_ci	s2_shown	The other columns hold: The same measurement, on different subjects or groups w
subjects_ci	s2_shown	Same measurement: four singers' FO — one shared vertical axis.
subjects_ci	s2_shown	Different measurements: FO and contact quotient — each its own scale.
subjects_ci	s2_shown	Undo Go Back Quit Continue
subjects_ci	s3_title	Line Chart -- Column Mapping
subjects_ci	s3_want	Line Chart -- Column Mapping
subjects_ci	s3_shown	[-] Select columns from your Table.
subjects_ci	s3_shown	Time column: time v
subjects_ci	s3_shown	Measurement column: fO
subjects_ci	s3_shown	Series names come from: _ speaker v
subjects_ci	s3_shown	Group order: Table order Vv
subjects_ci	s3_shown	Draw the mean and its interval (up to 4 observations per point)
subjects_ci	s3_shown	Line style: Solid v
subjects_ci	s3_shown	Undo Go Back Quit Advanced Draw
subjects_ci	s4_title	Line Chart -- Column Mapping
subjects_ci	s4_want	Line Chart -- Column Mapping
subjects_ci	s4_shown	[-] Select columns from your Table.
subjects_ci	s4_shown	Time column: time v
subjects_ci	s4_shown	Measurement column: f0
