singer,practice_hrs_wk,vibrato_regularity_pct,experience_yrs,.fitted,.resid,.std.resid,.hat,.cooksd
S1,9.651693900956824,71.79068633953113,2,72.36741088106248,-0.5767245415313482,-0.08364663154446045,0.04994728965138551,0.00018392092513692626
S2,9.441194418280608,74.20982019376142,4,71.81543355009157,2.394386643669847,0.3475745964834301,0.05158097427067933,0.0032851510434533174
S3,12.00793862171911,89.46372210407873,11,78.5460183319947,10.917703772084025,1.5753596176023714,0.04013325601343883,0.051882736214299695
S4,15.943628765089343,88.97407343942034,14,88.86628949488176,0.10778394453858198,0.015702984817473245,0.05843246761681066,7.65133431738145e-06
S5,22.555956255221613,100,15,106.20531015709804,-6.20531015709804,-0.972842122588162,0.18688868751256266,0.10876464542707796
S6,21.117782798062436,100,22,102.4340935428654,-2.434093542865398,-0.37291092804569165,0.14852469425348153,0.012128492808141666
S7,1.8588664833914819,46.48800584016934,2,51.93285197394639,-5.444846133777048,-0.8569554027910041,0.19320624082877527,0.08793161854001838
S8,10.017335729243493,80.38833524923822,8,73.32620658879084,7.062128660447385,1.0229049415485387,0.04740467223867146,0.02603474082895041
S9,5.952358831420448,68.9085232740159,5,62.66691626659059,6.241607007425316,0.9284182175468082,0.09673894979756598,0.04615783142378497
S10,3.8403014836155016,46.092069658324995,1,57.12862342673563,-11.036553768410634,-1.683069446814166,0.14064888662003613,0.2318140376428408
S11,18.633253822973792,97.46484045573558,17,95.91909571506191,1.545744740673669,0.22981797255436118,0.09590237890109252,0.0028012510736457725
S12,15.479023990584466,77.86956229132576,18,87.647990522708,-9.778428231382236,-1.4212822686998585,0.054012977215326816,0.05766915899693996
S13,21.373719295179896,100,19,103.10521701918404,-3.105217019184039,-0.477528157271831,0.1549280323753062,0.020902791243238402
S14,11.386910879023658,74.30513589063216,11,76.91754290054106,-2.6124070099089067,-0.3771664183840191,0.04121022245674828,0.0030571560224708985
S15,13.892013527270159,74.31114112043069,13,83.48648956020656,-9.175348439775874,-1.3262609808767138,0.04347814854821831,0.03997644178963529
S16,13.611820548603548,88.08832906550144,9,82.7517600941058,5.336568971395636,0.7709262800040894,0.042351126938838454,0.013141785507328864
S17,6.164299380952148,58.7178140753938,6,63.22267240132162,-4.50485832592782,-0.6687084435553551,0.09302271521965627,0.022931698321426067
S18,16.88644242223078,100,13,91.33856049267955,8.661439507320452,1.2691989961065917,0.0692598200047825,0.05993525258830451
S19,11.314480656237874,79.48143235979371,11,76.72761444776467,2.7538179120290494,0.39762326405847814,0.041406194479137924,0.0034146349083558286
S20,15.560725659071393,96.4573181044458,12,87.86223080650316,8.59508729794264,1.2497696673012433,0.05474632634020612,0.04523103983676269
S21,9.725279567495875,87.48544800903193,9,72.56036916911879,14.92507883991314,2.1640777262416857,0.04940547819242665,0.12170138327010661
S22,5.357950150925233,59.760504775936255,7,61.10824204661467,-1.3477372706784152,-0.20171399512426808,0.10783298073403333,0.0024589376234473103
S23,14.528550885240016,75.42764879043396,12,85.15563471651993,-9.727985926085964,-1.4086319937121645,0.046855995355888996,0.048772132850228536
S24,9.381107481919654,67.6799822728468,7,71.6578719906185,-3.9778897177717027,-0.5775884487172391,0.052070086054005996,0.009162607213184345
S25,12.226150601719576,80.5042723651273,9,79.11821957816976,1.3860527869575492,0.19998646644446244,0.040011398380924,0.0008334678876778263
