singer,voice_type,SPL_dB,vibrato_rate_Hz,.fitted,.resid,.std.resid,.hat
Singer_1,Soprano,89.67870702901388,5.037382009972681,92.76226297614578,-3.0835559471318987,-0.7779174919743435,0.06666666666666667
Singer_2,Soprano,85.92319742867288,6.433047887382753,92.76226297614578,-6.839065547472899,-1.7253550152338732,0.06666666666666667
Singer_3,Soprano,92.31094893075537,4.997455101898662,92.76226297614578,-0.4513140453904043,-0.11385721430138226,0.06666666666666667
Singer_4,Soprano,101.21213563576504,4.977511056201137,92.76226297614578,8.44987265961926,2.1317283874766737,0.06666666666666667
Singer_5,Soprano,94.15462472240613,6.708790095148004,92.76226297614578,1.3923617462603488,0.35126411718889966,0.06666666666666667
Singer_6,Soprano,89.21669786262153,5.779639584083855,92.76226297614578,-3.5455651135242476,-0.8944728644570078,0.06666666666666667
Singer_7,Soprano,93.21142408290558,5.947838512963395,92.76226297614578,0.4491611067598029,0.11331407234170746,0.06666666666666667
Singer_8,Soprano,95.70049913207612,5.560897976515816,92.76226297614578,2.9382361559303405,0.7412563094162974,0.06666666666666667
Singer_9,Soprano,91.43341626140679,6.4823070273462235,92.76226297614578,-1.3288467147389866,-0.3352405862814334,0.06666666666666667
Singer_10,Soprano,89.26571507958919,5.802713151672812,92.76226297614578,-3.496547896556592,-0.8821068327907078,0.06666666666666667
Singer_11,Soprano,92.5689812364927,5.356547247083463,92.76226297614578,-0.19328173965307371,-0.04876099176835386,0.06666666666666667
Singer_12,Soprano,90.50560094561328,4.953304505948085,92.76226297614578,-2.256662030532496,-0.5693092316545789,0.06666666666666667
Singer_13,Soprano,96.42826310891493,6.549606153378034,92.76226297614578,3.666000132769156,0.9248561329052496,0.06666666666666667
Singer_14,Soprano,97.18865841058857,5.901680350713219,92.76226297614578,4.426395434442796,1.1166881658337346,0.06666666666666667
Singer_15,Soprano,92.63507477536467,4.904514656895164,92.76226297614578,-0.12718820078110582,-0.03208695670088157,0.06666666666666667
Singer_16,Mezzo,85.50050900372648,6.448625784708387,87.23276930887118,-1.732260305144706,-0.43701350490438795,0.06666666666666667
