subject,voice_type,task,SPL_dB,.fitted,.resid,.std.resid
Soprano_1,Soprano,Speech,89.00757741267682,89.93462266739594,-0.9270452547191184,-0.3862871568404972
Soprano_2,Soprano,Speech,92.37270504362468,89.93462266739594,2.438082376228735,1.0159157867019917
Soprano_3,Soprano,Speech,90.26787168036529,89.93462266739594,0.33324901296934684,0.13886033403928516
Soprano_4,Soprano,Speech,87.65523492899314,89.93462266739594,-2.2793877384028036,-0.9497898881662347
Soprano_5,Soprano,Speech,88.00786060867864,89.93462266739594,-1.9267620587173013,-0.802855560482381
Soprano_6,Soprano,Speech,92.45236545760602,89.93462266739594,2.517742790210079,1.0491091984291396
Soprano_7,Soprano,Speech,89.09121074809045,89.93462266739594,-0.8434119193054954,-0.351438282754189
Soprano_8,Soprano,Speech,89.52546043643295,89.93462266739594,-0.4091622309629912,-0.17049234013187078
Soprano_9,Soprano,Speech,87.26997515764104,89.93462266739594,-2.6646475097549,-1.110322398270838
Soprano_10,Soprano,Speech,92.66657695059736,89.93462266739594,2.731954283201418,1.138368215903161
Soprano_11,Soprano,Speech,90.6428514614316,89.93462266739594,0.7082287940356622,0.2951093119218876
Soprano_12,Soprano,Speech,90.25578212261325,89.93462266739594,0.3211594552173125,0.133822779650522
Soprano_1,Soprano,Singing,100.54567608338827,100.58639762081116,-0.04072153742288265,-0.0169681111393265
Soprano_2,Soprano,Singing,100.71312261932773,100.58639762081116,0.12672499851657903,0.05280458438074566
Soprano_3,Soprano,Singing,97.87384648126769,100.58639762081116,-2.7125511395434643,-1.1302831896768313
Soprano_4,Soprano,Singing,101.39691237509332,100.58639762081116,0.8105147542821669,0.3377304812414953
Soprano_5,Soprano,Singing,102.81131007217533,100.58639762081116,2.224912451364176,0.9270907765089541
Soprano_6,Soprano,Singing,99.13560926386218,100.58639762081116,-1.4507883569489763,-0.6045237885964004
Soprano_7,Soprano,Singing,99.60694136495782,100.58639762081116,-0.9794562558533357,-0.4081261086200789
Soprano_8,Soprano,Singing,97.90147451422861,100.58639762081116,-2.684923106582545,-1.1187709638742165
Soprano_9,Soprano,Singing,102.8224807676696,100.58639762081116,2.236083146858448,0.9317454534844817
Soprano_10,Soprano,Singing,106.53339123537664,100.58639762081116,5.946993614565486,2.478031405074315
Soprano_11,Soprano,Singing,98.38591086569713,100.58639762081116,-2.200486755114028,-0.9169129208861688
Soprano_12,Soprano,Singing,99.31009580668966,100.58639762081116,-1.2763018141214957,-0.5318176178969161
Alto_1,Alto,Speech,83.48098185967184,84.919999735351,-1.4390178756791556,-0.5996191890407498
Alto_2,Alto,Speech,84.8026462440186,84.919999735351,-0.11735349133239481,-0.04889960471868412
Alto_3,Alto,Speech,84.10909481556624,84.919999735351,-0.8109049197847611,-0.3378930579031277
Alto_4,Alto,Speech,84.1781183456615,84.919999735351,-0.741881389689496,-0.3091318911101722
Alto_5,Alto,Speech,88.98685316927933,84.919999735351,4.06685343392833,1.6946025474831539
Alto_6,Alto,Speech,86.28391919730907,84.919999735351,1.3639194619580763,0.5683267008133691
Alto_7,Alto,Speech,88.21761538096764,84.919999735351,3.297615645616645,1.3740716169071443
Alto_8,Alto,Speech,81.18715700132796,84.919999735351,-3.7328427340230377,-1.5554248288508394
Alto_9,Alto,Speech,80.67468992409745,84.919999735351,-4.245309811253549,-1.7689628942581344
Alto_10,Alto,Speech,83.00355068082968,84.919999735351,-1.9164490545213226,-0.7985582718127402
Alto_11,Alto,Speech,89.60107172923733,84.919999735351,4.681071993886334,1.950539072692735
Alto_12,Alto,Speech,84.5142984762454,84.919999735351,-0.40570125910559796,-0.16905020020192477
Alto_1,Alto,Singing,98.47269535990603,93.34842922675456,5.124266133151465,2.1352120464376574
Alto_2,Alto,Singing,93.16431733666394,93.34842922675456,-0.18411189009061957,-0.0767169220721419
Alto_3,Alto,Singing,97.005651958807,93.34842922675456,3.657222732052432,1.5239150018895347
Alto_4,Alto,Singing,91.88522636964768,93.34842922675456,-1.4632028571068787,-0.6096967420689307
Alto_5,Alto,Singing,91.07763427056993,93.34842922675456,-2.2707949561846306,-0.9462093926127427
Alto_6,Alto,Singing,91.12777458021638,93.34842922675456,-2.220654646538179,-0.92531660711189
Alto_7,Alto,Singing,92.61522268438395,93.34842922675456,-0.7332065423706098,-0.3055172001446775
Alto_8,Alto,Singing,93.8511561298525,93.34842922675456,0.5027269030979369,0.2094794672389204
Alto_9,Alto,Singing,92.58348008162174,93.34842922675456,-0.7649491451328174,-0.31874391125647283
Alto_10,Alto,Singing,92.15629490436102,93.34842922675456,-1.1921343223935423,-0.4967461681349105
Alto_11,Alto,Singing,93.26909248209957,93.34842922675456,-0.07933674465499507,-0.03305854311831206
Alto_12,Alto,Singing,92.97260456292491,93.34842922675456,-0.37582466382964697,-0.15660102904606996
