eml-batch-process.praat	parses	
eml-check-data.praat	parses	
eml-check-normality.praat	parses	
eml-compare-groups.praat	parses	
eml-compare-k-groups.praat	parses	
eml-compare-kw.praat	parses	
eml-compare-paired.praat	parses	
eml-compare-twoway.praat	parses	
eml-correlate.praat	parses	
eml-create-demo.praat	parses	
eml-describe-table.praat	parses	
eml-edit-table-editor.praat	parses	
eml-edit-table-launch.praat	parses	
eml-edit-table.praat	parses	
eml-graphs.praat	parses	
eml-lib-graphs.praat	parses	
eml-lib-lmm.praat	parses	
eml-lib-stats.praat	parses	
eml-lib.praat	parses	
eml-lmm.praat	parses	
eml-pairwise.praat	parses	
eml-quick-start.praat	parses	
eml-record-edit-step.praat	parses	
eml-record-open.praat	parses	
eml-record-save.praat	parses	
eml-record-start.praat	parses	
eml-regress.praat	parses	
eml-stats-demo.praat	parses	
eml-tutorial.praat	parses	
eml-wizard.praat	parses	
