casefieldvalue
cold_anova	verdict	none
cold_anova	consumed	0
cold_anova	printReport	1
cold_anova	note	
cold_anova	error	
cold_anova	omnibus	One-way ANOVA: F(2, 9) = 109.86, p < .001
cold_anova	nGroups	3
cold_anova	bracketN	0
cold_anova	matrixN	3
cold_anova	captionTest	Pairwise comparisons: Tukey HSD
cold_anova	captionAdjust	already family-wise; no further adjustment applied
cold_anova	matrixPosthoc	Tukey HSD (already family-wise)
cold_anova	infoLines	
cold_anova	cell1_2	p < .001
cold_anova	cellD1_2	5.469992182776681
cold_anova	cellSig1_2	1
cold_anova	cell1_3	p < .001
cold_anova	cellD1_3	10.577997239768594
cold_anova	cellSig1_3	1
cold_anova	cell2_3	p < .001
cold_anova	cellD2_3	4.992833739150852
cold_anova	cellSig2_3	1
cold_anova	mlabel1	Zebra
cold_anova	mlabel2	Mid
cold_anova	mlabel3	Alpha
consume_anova	verdict	consume
consume_anova	consumed	1
consume_anova	printReport	0
consume_anova	note	
consume_anova	error	
consume_anova	omnibus	One-way ANOVA: F(2, 9) = 109.86, p < .001
consume_anova	nGroups	3
consume_anova	bracketN	0
consume_anova	matrixN	3
consume_anova	captionTest	Pairwise comparisons: Tukey HSD
consume_anova	captionAdjust	already family-wise; no further adjustment applied
consume_anova	matrixPosthoc	Tukey HSD (already family-wise)
consume_anova	infoLines	
consume_anova	cell1_2	p < .001
consume_anova	cellD1_2	5.469992182776681
consume_anova	cellSig1_2	1
consume_anova	cell1_3	p < .001
consume_anova	cellD1_3	10.577997239768594
consume_anova	cellSig1_3	1
consume_anova	cell2_3	p < .001
consume_anova	cellD2_3	4.992833739150852
consume_anova	cellSig2_3	1
consume_anova	mlabel1	Zebra
consume_anova	mlabel2	Mid
consume_anova	mlabel3	Alpha
consume_anova_again	verdict	consume
consume_anova_again	consumed	1
consume_anova_again	printReport	0
consume_anova_again	note	
consume_anova_again	error	
consume_anova_again	omnibus	One-way ANOVA: F(2, 9) = 109.86, p < .001
consume_anova_again	nGroups	3
consume_anova_again	bracketN	0
consume_anova_again	matrixN	3
consume_anova_again	captionTest	Pairwise comparisons: Tukey HSD
consume_anova_again	captionAdjust	already family-wise; no further adjustment applied
consume_anova_again	matrixPosthoc	Tukey HSD (already family-wise)
consume_anova_again	infoLines	
consume_anova_again	cell1_2	p < .001
consume_anova_again	cellD1_2	5.469992182776681
consume_anova_again	cellSig1_2	1
consume_anova_again	cell1_3	p < .001
consume_anova_again	cellD1_3	10.577997239768594
consume_anova_again	cellSig1_3	1
consume_anova_again	cell2_3	p < .001
consume_anova_again	cellD2_3	4.992833739150852
consume_anova_again	cellSig2_3	1
consume_anova_again	mlabel1	Zebra
consume_anova_again	mlabel2	Mid
consume_anova_again	mlabel3	Alpha
consume_anova_brackets	verdict	consume
consume_anova_brackets	consumed	1
consume_anova_brackets	printReport	0
consume_anova_brackets	note	
consume_anova_brackets	error	
consume_anova_brackets	omnibus	One-way ANOVA: F(2, 9) = 109.86, p < .001
consume_anova_brackets	nGroups	3
consume_anova_brackets	bracketN	3
consume_anova_brackets	matrixN	0
consume_anova_brackets	captionTest	Pairwise comparisons: Tukey HSD
consume_anova_brackets	captionAdjust	already family-wise; no further adjustment applied
consume_anova_brackets	matrixPosthoc	Tukey HSD (already family-wise)
consume_anova_brackets	infoLines	
consume_anova_brackets	bracket1.i	1
consume_anova_brackets	bracket1.j	2
consume_anova_brackets	bracket1.p	0.00010380859823322375
consume_anova_brackets	bracket1.d	5.469992182776681
consume_anova_brackets	bracket1.label	p < .001, d = 5.47
consume_anova_brackets	bracket2.i	1
consume_anova_brackets	bracket2.j	3
consume_anova_brackets	bracket2.p	3.454079533504739e-07
consume_anova_brackets	bracket2.d	10.577997239768594
