cell	field	new	baseline	rel_error
c0507	intercept_p	1.0981204915691367e-29	1.0981204915690274e-29	9.953e-14
c0508	intercept_p	1.3079163523079625e-22	1.3079163523078412e-22	9.275e-14
c0507	p	3.9460844976747456e-19	3.9460844976743807e-19	9.249e-14
c0507	slope_p	3.9460844976747456e-19	3.9460844976743807e-19	9.249e-14
c0508	slope_p	3.9460844976749714e-19	3.9460844976746065e-19	9.249e-14
c0508	p	3.9460844976749714e-19	3.9460844976746065e-19	9.249e-14
c0403	p	3.946084497674828e-19	3.9460844976744924e-19	8.504e-14
c0405	p	3.946084497674828e-19	3.9460844976744924e-19	8.504e-14
c0399	p	1.6243194684225975e-09	1.6243194684226925e-09	5.844e-14
c0397	p	1.6243194684225975e-09	1.6243194684226925e-09	5.844e-14
c0396	p	9.166854032696006e-10	9.166854032696408e-10	4.388e-14
c0394	p	9.166854032696006e-10	9.166854032696408e-10	4.388e-14
c0510	slope_p	2.3285947015000958e-18	2.3285947015000137e-18	3.523e-14
c0504	slope_p	9.166854032696006e-10	9.166854032696309e-10	3.305e-14
c0504	intercept_p	3.0365297712141386e-12	3.0365297712142355e-12	3.192e-14
c0504	p	9.166854032696006e-10	9.166854032696278e-10	2.967e-14
c0510	p	2.3285947015000792e-18	2.3285947015000137e-18	2.812e-14
c0509	p	2.3285947015000792e-18	2.3285947015000137e-18	2.812e-14
c0505	p	9.166854032696039e-10	9.166854032696278e-10	2.606e-14
c0505	slope_p	9.166854032696039e-10	9.166854032696278e-10	2.606e-14
c0509	slope_p	2.3285947015000623e-18	2.3285947015000137e-18	2.084e-14
c0402	p	3.8321982741035335e-06	3.832198274103601e-06	1.768e-14
c0400	p	3.8321982741035335e-06	3.832198274103601e-06	1.768e-14
c0506	slope_p	3.832198274103527e-06	3.832198274103594e-06	1.746e-14
c0506	p	3.832198274103527e-06	3.832198274103594e-06	1.746e-14
c0505	intercept_p	7.009869300369671e-05	7.00986930036979e-05	1.701e-14
c0508	f	761.2145384893953	761.2145384894019	8.662e-15
c0512	p	0.0008155312219699233	0.000815531221969917	7.711e-15
c0507	f	761.2145384893995	761.2145384894053	7.617e-15
c0518	grp_corr_intercept	0.15714285714285747	0.15714285714285836	5.652e-15
c0519	grp_corr_intercept	0.15714285714285747	0.15714285714285836	5.652e-15
c0512	slope_p	0.0008155312219699214	0.000815531221969917	5.318e-15
c0519	overall_intercept_p	0.0033269553079461494	0.0033269553079461646	4.562e-15
c0518	overall_intercept_p	0.0033269553079461494	0.0033269553079461646	4.562e-15
c0508	intercept_t	39.370870686757875	39.370870686758046	4.331e-15
c0417	p	0.0008155312219699205	0.000815531221969917	4.254e-15
c0415	p	0.0008155312219699205	0.000815531221969917	4.254e-15
c0508	slope_t	-27.590116681329842	-27.59011668132996	4.249e-15
c0508	residual_se	0.7716205648557929	0.7716205648557897	4.173e-15
c0508	intercept_se	0.7205558519527971	0.7205558519527941	4.160e-15
c0508	slope_se	0.008457023479704713	0.008457023479704678	4.102e-15
c0403	t	-27.59011668132989	-27.59011668133	3.992e-15
c0405	t	-27.59011668132989	-27.59011668133	3.992e-15
c0507	intercept_t	80.38109190741238	80.3810919074127	3.889e-15
c0507	slope_t	-27.59011668132992	-27.590116681330027	3.863e-15
c0507	intercept_se	1.498582119174517	1.4985821191745112	3.852e-15
c0507	slope_se	0.15078133155500578	0.15078133155500523	3.682e-15
c0507	residual_se	3.2581330303953417	3.2581330303953298	3.680e-15
c0512	intercept_p	0.0022541217639157137	0.002254121763915722	3.655e-15
c0506	intercept_p	6.115049730623619e-12	6.115049730623641e-12	3.567e-15
c0504	f	98.09033304228629	98.09033304228595	3.477e-15
c0399	t	9.605620907332526	9.605620907332497	2.959e-15
c0397	t	9.605620907332526	9.605620907332497	2.959e-15
c0518	overall_slope_p	0.01595374065132985	0.015953740651329804	2.827e-15
c0519	overall_slope_p	0.01595374065132985	0.015953740651329804	2.827e-15
c0505	f	98.09033304228622	98.09033304228595	2.753e-15
c0396	t	9.904056393331285	9.90405639333126	2.511e-15
c0394	t	9.904056393331285	9.90405639333126	2.511e-15
c0509	intercept	22.645755949426018	22.64575594942596	2.510e-15
c0506	f	36.28601848629955	36.28601848629946	2.350e-15
c0509	intercept_p	0.15244950570620375	0.15244950570620408	2.185e-15
c0510	f	417.27083125770673	417.2708312577076	2.043e-15
c0509	f	417.2708312577068	417.27083125770764	2.043e-15
c0504	slope_t	9.904056393331285	9.904056393331265	1.973e-15
c0504	slope_se	0.2647628850095374	0.2647628850095378	1.677e-15
c0509	intercept_t	1.4709689330713855	1.470968933071383	1.660e-15
c0504	residual_se	7.073691661958187	7.073691661958199	1.632e-15
c0504	intercept_se	3.5545796457718533	3.554579645771859	1.624e-15
c0504	intercept_t	13.2388320502058	13.238832050205781	1.476e-15
c0505	intercept_t	-4.835927455817201	-4.835927455817194	1.469e-15
c0505	slope_t	9.904056393331281	9.904056393331267	1.435e-15
c0512	f	16.105635608220734	16.105635608220755	1.324e-15
c0505	residual_se	2.4279195025825504	2.4279195025825535	1.280e-15
