cell_id	quantity	value	source
c0001	n_group1	20	emlRunTwoGroupAnalysis
c0001	n_group2	20	emlRunTwoGroupAnalysis
c0001	n	40	emlRunTwoGroupAnalysis
c0001	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0001	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0001	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0001	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0001	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0001	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0001	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0001	t	-1.5423383217837563	emlRunTwoGroupAnalysis
c0001	df	31.789784909512843	emlRunTwoGroupAnalysis
c0001	p	0.13288837133543763	emlRunTwoGroupAnalysis
c0001	cohens_d	-0.4877302019398362	emlRunTwoGroupAnalysis
c0001	hedges_g	-0.47802944435466926	emlRunTwoGroupAnalysis
c0002	n_group1	20	emlRunTwoGroupAnalysis
c0002	n_group2	20	emlRunTwoGroupAnalysis
c0002	n	40	emlRunTwoGroupAnalysis
c0002	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0002	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0002	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0002	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0002	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0002	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0002	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0002	t	-1.5423383217837563	emlRunTwoGroupAnalysis
c0002	df	31.789784909512843	emlRunTwoGroupAnalysis
c0002	p	0.13288837133543763	emlRunTwoGroupAnalysis
c0002	cohens_d	-0.4877302019398362	emlRunTwoGroupAnalysis
c0002	hedges_g	-0.47802944435466926	emlRunTwoGroupAnalysis
c0003	n_group1	20	emlRunTwoGroupAnalysis
c0003	n_group2	20	emlRunTwoGroupAnalysis
c0003	n	40	emlRunTwoGroupAnalysis
c0003	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0003	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0003	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0003	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0003	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0003	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0003	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0003	t	-1.542338321783756	emlRunTwoGroupAnalysis
c0003	df	38	emlRunTwoGroupAnalysis
c0003	p	0.13127893707327898	emlRunTwoGroupAnalysis
c0003	cohens_d	-0.4877302019398362	emlRunTwoGroupAnalysis
c0003	hedges_g	-0.47802944435466926	emlRunTwoGroupAnalysis
c0004	n_group1	20	emlRunTwoGroupAnalysis
c0004	n_group2	20	emlRunTwoGroupAnalysis
c0004	n	40	emlRunTwoGroupAnalysis
c0004	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0004	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0004	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0004	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0004	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0004	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0004	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0004	t	-1.542338321783756	emlRunTwoGroupAnalysis
c0004	df	38	emlRunTwoGroupAnalysis
c0004	p	0.13127893707327898	emlRunTwoGroupAnalysis
c0004	cohens_d	-0.4877302019398362	emlRunTwoGroupAnalysis
c0004	hedges_g	-0.47802944435466926	emlRunTwoGroupAnalysis
c0005	n_group1	20	emlRunTwoGroupAnalysis
c0005	n_group2	20	emlRunTwoGroupAnalysis
c0005	n	40	emlRunTwoGroupAnalysis
c0005	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0005	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0005	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0005	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0005	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0005	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0005	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0005	u1	138	emlRunTwoGroupAnalysis
c0005	u2	262	emlRunTwoGroupAnalysis
c0005	rank_biserial	-0.31	emlRunTwoGroupAnalysis
c0005	p	0.0964995524361003	emlRunTwoGroupAnalysis
c0005	p_method	exact	emlRunTwoGroupAnalysis
c0006	n_group1	20	emlRunTwoGroupAnalysis
c0006	n_group2	20	emlRunTwoGroupAnalysis
c0006	n	40	emlRunTwoGroupAnalysis
c0006	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0006	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0006	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0006	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0006	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0006	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0006	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0006	u1	138	emlRunTwoGroupAnalysis
c0006	u2	262	emlRunTwoGroupAnalysis
c0006	rank_biserial	-0.31	emlRunTwoGroupAnalysis
c0006	p	0.0964995524361003	emlRunTwoGroupAnalysis
c0006	p_method	exact	emlRunTwoGroupAnalysis
c0007	n_group1	20	emlRunTwoGroupAnalysis
c0007	n_group2	20	emlRunTwoGroupAnalysis
c0007	n	40	emlRunTwoGroupAnalysis
c0007	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0007	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
c0007	sd_group1	15.746002363591481	emlRunTwoGroupAnalysis
c0007	sd_group2	25.312138796756305	emlRunTwoGroupAnalysis
c0007	median_group1	123.09982926178384	emlRunTwoGroupAnalysis
c0007	median_group2	135.4196823775431	emlRunTwoGroupAnalysis
c0007	mean_diff	-10.280821420414043	emlRunTwoGroupAnalysis
c0007	t	-1.5423383217837563	emlRunTwoGroupAnalysis
c0007	df	31.789784909512843	emlRunTwoGroupAnalysis
c0007	p	0.13288837133543763	emlRunTwoGroupAnalysis
c0007	cohens_d	-0.4877302019398362	emlRunTwoGroupAnalysis
c0007	hedges_g	-0.47802944435466926	emlRunTwoGroupAnalysis
c0007	u1	138	emlRunTwoGroupAnalysis
c0007	u2	262	emlRunTwoGroupAnalysis
c0007	rank_biserial	-0.31	emlRunTwoGroupAnalysis
c0007	mw_p	0.0964995524361003	emlRunTwoGroupAnalysis
c0007	p_method	exact	emlRunTwoGroupAnalysis
c0008	n_group1	20	emlRunTwoGroupAnalysis
c0008	n_group2	20	emlRunTwoGroupAnalysis
c0008	n	40	emlRunTwoGroupAnalysis
c0008	mean_group1	123.65340661246606	emlRunTwoGroupAnalysis
c0008	mean_group2	133.9342280328801	emlRunTwoGroupAnalysis
