grp,y
All,66.66164557485818
All,51.00289905899069
All,41.8793937235037
All,57.55334163585718
All,59.685819490497344
All,40.17555845265239
All,39.762429365308556
All,56.36486804213029
All,50.066759856198686
All,33.46755434607892
All,43.39103926701779
All,57.81084279684263
All,45.54311668544721
All,36.51921010268935
All,53.996957675231066
All,61.7767194532655
All,45.6181549613369
All,45.07360218311829
All,63.898401439160196
All,61.33170271855637
All,43.955938101627304
All,50.760650824144484
All,65.13906784826237
All,52.49960807874125
All,38.56593374866114
All,51.569026711161776
All,58.81804320522815
All,40.8239024431046
All,35.597299570473744
All,53.08162348285748
All,52.88087742496586
All,35.54915685182142
All,41.33005768201131
All,59.19295582100662
All,51.544072110267884
All,38.84078968951382
All,53.101268646411334
All,65.29916800272608
All,50.593949550839454
All,44.15582934312282
All,61.57452371776778
All,63.5619952969653
All,44.64900379851864
All,45.62658053514331
All,61.6345205174015
All,53.387145237476815
All,36.16794242529216
All,45.642284147726095
All,57.64214966682539
All,42.99482524652254
All,33.58418252208229
All,50.47980409688874
All,56.38526630411086
All,39.760961420042705
All,40.706002625431736
All,60.182216110348286
All,57.54753997386158
All,41.995780474621284
All,51.49045150972406
All,66.78303246099613
All,54.66160121701603
All,42.807760542430145
All,57.27014123114681
All,63.722729945459356
All,45.1219622027834
All,40.421798741229246
All,56.91768429499287
All,54.091832079393974
All,35.40201976630743
All,40.75357675323434
All,56.62391693328277
All,46.72965321787805
All,33.9863958604633
All,48.71738251241128
All,60.04499361734962
All,45.37588690216274
All,41.125561570253396
All,60.189153465565184
All,62.51370449246009
All,45.24055409006618
All,48.931512342790796
All,65.84376844686936
All,57.354481565267584
All,41.201111341007596
All,51.571953573935836
All,62.13705458265306
All,45.77103091087957
All,36.10574197843368
All,51.91628121877052
All,55.023049988971415
All,36.72625418359329
All,37.608033948161776
All,55.97985626267397
All,51.665882852988254
All,36.583392324966034
All,47.629668130400155
All,63.10811827179221
All,51.40331884892769
All,42.041340267610664
All,58.73350525498702
All,65.59812531273398
All,47.99821052641391
All,45.50514108237414
All,62.57440905930236
All,58.59833641473917
All,39.782976837742495
All,45.40091368740271
All,59.43167979823438
All,47.049107252535634
All,33.548192268364986
All,47.490541652671695
All,56.40411618962534
All,40.18980936251209
All,36.496598111051014
All,55.62251436319065
All,57.078047963744815
All,40.7423404902279
All,46.834290428202266
All,64.7925724536625
All,56.815484415837545
All,42.94398238328539
All,55.621797347384
All,66.34021775748835
All,49.99103986018642
All,41.639773202885934
All,57.5345959487049
All,58.67149605264756
All,39.15049011986602
All,39.813716016460184
All,56.344534267274845
All,49.28192765220535
All,33.31517667455299
All,44.23976017860786
All,58.16636646882145
All,45.381646285409346
All,37.26692220237335
All,55.20893120581591
All,62.02291316895849
All,45.587470310568946
