i,theoretical,sample
1,-2.156355705191826,0.530328000000000
2,-1.746377703932501,1.163901000000000
3,-1.512389586067680,1.696492000000000
4,-1.340372647815915,1.946611000000000
5,-1.200838988813933,3.184125000000000
6,-1.081436246427833,3.279249000000000
7,-0.975741569736452,5.499484000000000
8,-0.879958138385173,6.259153000000000
9,-0.791638607743375,7.513584000000000
10,-0.709102503409024,8.566767000000000
11,-0.631137978608047,10.869399000000000
12,-0.556835609770804,11.203670000000001
13,-0.485489452829721,12.684333000000001
14,-0.416534901828723,14.397815000000000
15,-0.349507855309863,14.717356000000001
16,-0.284016787609739,15.594575000000001
17,-0.219722915818580,16.055634000000001
18,-0.156325575894448,16.747802000000000
19,-0.093550995786424,16.928001999999999
20,-0.031143273032093,17.381413999999999
21,0.031143273032093,21.113323999999999
22,0.093550995786424,23.006976000000002
23,0.156325575894448,23.810260000000000
24,0.219722915818580,25.008920000000000
25,0.284016787609739,25.164444000000000
26,0.349507855309863,26.862473999999999
27,0.416534901828723,27.696238999999998
28,0.485489452829721,27.925568999999999
29,0.556835609770804,29.823011000000001
30,0.631137978608047,32.603462000000000
31,0.709102503409024,32.711557999999997
32,0.791638607743375,33.630121000000003
33,0.879958138385173,33.789275000000004
34,0.975741569736452,37.311284000000001
35,1.081436246427833,38.353608999999999
36,1.200838988813932,42.864854000000001
37,1.340372647815915,45.558931000000001
38,1.512389586067680,69.592866999999998
39,1.746377703932501,82.676952999999997
40,2.156355705191826,106.499814000000001
