i,theoretical,sample
1,-2.156355705191826,0.636397920459688
2,-1.746377703932501,0.764411541643878
3,-1.512389586067680,0.886160259365350
4,-1.340372647815915,1.025311372754555
5,-1.200838988813933,1.045447247482945
6,-1.081436246427833,1.169055915543331
7,-0.975741569736452,1.177460605499375
8,-0.879958138385173,1.196411887059415
9,-0.791638607743375,1.273088208547828
10,-0.709102503409024,1.280000286572482
11,-0.631137978608047,1.300690240128369
12,-0.556835609770804,1.458447596105358
13,-0.485489452829721,1.535699139260975
14,-0.416534901828723,1.543952632670772
15,-0.349507855309863,1.687316998528950
16,-0.284016787609739,1.781275903896895
17,-0.219722915818580,1.809643249493008
18,-0.156325575894448,1.812651239595759
19,-0.093550995786424,1.921519920120615
20,-0.031143273032093,1.970574146499600
21,0.031143273032093,2.059437885839936
22,0.093550995786424,2.201147141452032
23,0.156325575894448,2.243780297345252
24,0.219722915818580,2.249862088067322
25,0.284016787609739,2.323717252397418
26,0.349507855309863,2.380441239945612
27,0.416534901828723,2.406964712357255
28,0.485489452829721,2.453558552667083
29,0.556835609770804,2.746038371771165
30,0.631137978608047,2.834757762733075
31,0.709102503409024,3.073447655303319
32,0.791638607743375,3.097878968344474
33,0.879958138385173,3.128629396906338
34,0.975741569736452,3.135831071674366
35,1.081436246427833,3.192242519266397
36,1.200838988813932,3.234282796562937
37,1.340372647815915,4.312844474113994
38,1.512389586067680,4.498661266351164
39,1.746377703932501,4.532986399501455
40,2.156355705191826,5.159617605981334
