nofields4_k0	0	CLOSED	-
nofields4_k1	1	CLOSED	-
nofields4_k2	2	CLOSED	-
nofields4_k3	3	CLOSED	-
nofields4_k4	4	CLOSED	-
nofields4_k5	5	CLOSED	-
fields2_k0	0	CLOSED	-
fields2_k1	1	CLOSED	-
fields2_k2	2	NOCLOSE	-
fields2_k3	3	CLOSED	-
fields2_k4	4	CLOSED	-
fields6_k0	0	NOCLOSE	-
fields6_k1	1	CLOSED	-
fields6_k2	2	CLOSED	-
fields6_k3	3	NOCLOSE	-
fields6_k4	4	CLOSED	-
fields6_k5	5	CLOSED	-
nofields1_k0	0	CLOSED	-
nofields1_k1	1	CLOSED	-
nofields1_k2	2	CLOSED	-
bools3_k0	0	CLOSED	-
bools3_k1	1	CLOSED	-
bools3_k2	2	NOCLOSE	-
bools3_k3	3	CLOSED	-
bools3_k4	4	CLOSED	-
bools3_k5	5	CLOSED	-
folder2_k0	0	CHOOSER	Choose folder
folder2_k1	1	NOCLOSE	-
folder2_k2	2	NOCLOSE	-
folder2_k3	3	NOCLOSE	-
folder2_k4	4	NOCLOSE	-
folder2_k5	5	NOCLOSE	-
deftest_k0	0	CLOSED	-
deftest_k1	1	CLOSED	-
nofields4_r1	1	CLOSED	-
nofields4_r2	2	CLOSED	-
fields2_r1	1	CLOSED	-
fields2_r2	2	CLOSED	-
fields6_r1	1	CLOSED	-
fields6_r2	2	CLOSED	-
bools3_r1	1	CLOSED	-
folder2_r1	1	CLOSED	-
folder2_r2	2	CLOSED	-
nofields1_r1	1	CLOSED	-
