singer,voice_type,SPL_dB,vibrato_rate_Hz
Singer_1,Soprano,93.53279684460584,4.84004968697648
Singer_2,Soprano,97.48598869792441,5.180319247361978
Singer_3,Soprano,86.86533174092747,5.094941804408825
Singer_4,Soprano,96.62283373700645,6.078157731565803
Singer_5,Soprano,89.12286093274847,6.445118412170314
Singer_6,Soprano,89.3601118696466,4.952137561994918
Singer_7,Soprano,92.48594015063962,5.8876244815162995
Singer_8,Soprano,92.01447254518396,6.462484369644904
Singer_9,Soprano,92.6102670039267,5.735725559382316
Singer_10,Soprano,93.69603421590715,6.647980353483568
Singer_11,Soprano,95.13564619895872,5.615928254254197
Singer_12,Soprano,87.17797898064231,5.862069879827713
Singer_13,Soprano,96.58808170740059,6.583778931423188
Singer_14,Soprano,95.32909005011989,5.455158244850907
Singer_15,Soprano,88.93448358615511,5.1539170173595314
Singer_16,Mezzo,92.88659589386435,5.960769755654502
Singer_17,Mezzo,80.64746084622348,5.896989119538069
Singer_18,Mezzo,82.87270351998292,6.35185078126042
Singer_19,Mezzo,81.42116596956575,5.74846847580652
Singer_20,Mezzo,87.95287036191782,5.348847883157033
Singer_21,Mezzo,92.14902210188646,6.0435702356953405
Singer_22,Mezzo,94.97442271717654,4.663020425707876
Singer_23,Mezzo,87.64928621091656,7.100546491205053
Singer_24,Mezzo,88.83189418153206,6.512295326636668
Singer_25,Mezzo,88.57913386201557,4.679339300831
Singer_26,Mezzo,93.89418480156633,5.2390480332275216
Singer_27,Mezzo,90.56287420092225,4.669245270695799
Singer_28,Mezzo,88.71797111906513,5.429880056844613
Singer_29,Mezzo,90.18632174966041,5.092514679870766
Singer_30,Mezzo,91.23725726833369,6.466874931639688
Singer_31,Alto,89.12569001895618,5.199929325187002
Singer_32,Alto,80.41895696510726,4.615425285943065
Singer_33,Alto,91.6625897582839,6.1622264443822745
Singer_34,Alto,80.2480577097774,5.058388269010164
Singer_35,Alto,85.01038341966635,4.797315252080018
Singer_36,Alto,84.27586278846903,5.130685778695942
Singer_37,Alto,86.53421925323289,4.827434689896227
Singer_38,Alto,87.11135106492972,4.903757730657259
Singer_39,Alto,77.57691753621832,5.1184331046960745
Singer_40,Alto,85.5653638247647,4.795919642554492
Singer_41,Alto,86.12958765174157,5.052519669388319
Singer_42,Alto,84.4499195242082,5.905113926817381
Singer_43,Alto,88.81227804695142,5.155457727715541
Singer_44,Alto,84.5032105349999,4.3260194571088455
Singer_45,Alto,80.78505276857646,4.426271740901607
