id,x,y
R1,1.23209179680375,3.47806453600304
R2,2.01790650589734,6.2023595646982
R3,2.90487814016293,7.37178417661631
R4,3.84722602792295,9.48653271169477
R5,4.65408901336852,49.9838135080672
R6,6.31567238357592,14.0505227816494
R7,6.77192334241768,10.9995455333803
R8,8.17273095247608,16.6773512626257
R9,8.92729685002024,17.1734394194544
R10,10.4909222940103,19.2577658375112
R11,10.9375510458217,20.6865162641153
R12,11.7360252302198,20.7834462139527
R13,12.8282789936168,23.3836586044104
R14,13.9963015644464,25.0780245144728
R15,14.5698681822754,23.2477093481882
R16,15.7045900861046,24.8450484119116
R17,17.0490998825524,29.6781992492067
R18,18.3780108755663,28.8388788606672
R19,19.344933062813,32.8545950892236
R20,19.783273258283,-3.0435691719422
R21,21.482513506289,35.239459439785
R22,21.8957408256873,34.2661472336878
R23,22.6777320907713,36.7862156682306
R24,24.2093964806134,39.5686076642006
R25,25.2692448424642,41.5618714650467
