value,grp
9.023607377946021,G1
11.392688575571169,G1
7.407403065053718,G1
9.054224465302909,G1
10.125040324221077,G1
7.58770691510664,G1
7.733085684573551,G1
11.598131052042016,G1
12.985309783334014,G1
9.743399457177444,G1
12.92618256559087,G1
12.56384955043761,G1
-2.2494244411211834,G2
25.163704711898745,G2
0.29446827320233027,G2
8.09678811199434,G2
3.946657599659929,G2
17.267571422314752,G2
23.46576246761932,G2
10.885656148180901,G2
18.38123387196476,G2
-33.386820907477556,G2
-14.915293371683848,G2
21.06132579823729,G2
