value,grp
9.164298807322908,G1
8.707329100226167,G1
9.859166865133867,G1
13.643768958503266,G1
11.464192981065676,G1
12.0274197662953,G1
11.370903462631754,G1
10.655635252897346,G1
10.392356459363128,G1
10.299854380138383,G1
13.458407450726053,G1
9.715254820046635,G1
7.048556435523219,G1
8.655092327402079,G1
11.475552696359184,G1
14.402250442087418,G1
7.231377451966131,G1
9.08847218064983,G1
13.790888114545927,G2
10.339826144131528,G2
12.32262263527347,G2
13.565936469361874,G2
11.700270864777204,G3
10.503796672921894,G3
11.401664455673346,G3
9.829702335754767,G3
10.037541248044219,G3
11.723054879737344,G3
12.281719204476628,G3
11.92708629315757,G3
10.606370123772708,G3
11.239913334907126,G3
10.350554100837844,G3
15.36318758304007,G4
10.71255572224879,G4
13.566634385036531,G4
12.977910890528285,G4
13.428877751437282,G4
14.47679349053594,G4
14.629494972955264,G4
12.985395986944553,G5
16.59465353062496,G5
19.32408901259566,G5
15.335046354510023,G5
15.730270310372726,G5
15.413140715279791,G5
12.496559494476125,G5
15.220475032794905,G5
14.108175949603641,G5
13.831753082555839,G5
13.634296531834082,G5
16.757331114170462,G5
14.756603007904248,G5
11.435705096802925,G5
14.34405697821822,G5
13.78257595294014,G5
11.861438723831299,G5
14.735452512182631,G5
11.523396996559772,G5
13.636669790023367,G5
14.56600381959359,G5
14.89943434183036,G5
14.419663210229949,G5
14.427752939715406,G5
14.385090296776587,G5
