id,group,factor2,x,y
R1,A,Sing,,103.298455274264
R2,A,Sing,64.5862793535493,101.618905253438
R3,A,Sing,71.3842330087926,101.66574332771
R4,A,Sing,54.6175251262434,90.7961264937565
R5,B,Sing,NA,108.967116076702
R6,B,Sing,66.6699355700279,100.854028539082
R7,B,Sing,60.7940681942826,102.853813370338
R8,B,Sing,67.9859441823028,97.7410713793343
R9,C,Sing,n/a,104.263026761535
R10,C,Sing,69.1692932136698,99.0553500897099
R11,C,Sing,65.4028925172160,99.2706870540155
R12,C,Sing,69.6875065677058,97.2210861019467
R13,A,Speak,--undefined--,99.2911992883706
R14,A,Speak,61.5946020252780,96.754098921162
R15,A,Speak,62.4615760917182,96.2456930032318
R16,A,Speak,59.3170330978416,103.577065524988
R17,B,Speak,?,94.5919213804386
R18,B,Speak,69.0367968245941,105.25067775193
R19,B,Speak,68.8474877205152,99.1584700203499
R20,B,Speak,64.1430717914967,99.1807663390937
R21,C,Speak,.,97.5619206179884
R22,C,Speak,74.0783074363378,104.226100775869
R23,C,Speak,64.7296563601256,109.962086846212
R24,C,Speak,74.4514847123441,107.573276376693
