id,group,value,value_pos
D1,1,57.2518099850704,213.586387507386
D2,2,0,211.290730195958
D3,2,65.4552708218443,215.375290508837
D4,2,63.1988883690406,207.312112350026
D5,2,65.2128801198878,203.367791019082
D6,2,60.8485163480005,215.908673916871
D7,3,65.6890021140378,208.243793490638
D8,3,55.1472275876567,207.206675738668
D9,3,59.340863604734,206.235021540654
D10,3,60.7311311547516,201.238415297889
D11,3,67.2064611209117,204.528319065583
D12,3,45.2930743608744,207.944888773519
D13,3,58.7858070219163,210.07665703485
D14,3,59.2970745463444,217.052535090419
D15,3,59.8367302040016,208.338986896201
D16,3,61.3990794080212,202.183128514731
D17,3,62.9507395508643,212.314780384116
D18,3,65.1214765323533,203.240351650664
D19,4,70.5366133039869,197.493330543815
D20,4,60.7731711825858,206.558764472295
D21,4,64.5653491785825,201.689465613611
D22,4,58.7288775437364,211.270781288328
D23,4,67.5971591892357,201.171797246181
D24,4,68.9063490756381,211.853013837279
D25,4,55.6057777765432,207.47462431412
D26,4,52.3539090765096,213.247913316488
D27,4,60.6795570446331,217.742068372827
D28,4,56.4555007365189,210.715610880985
D29,4,52.9521380809075,209.03367306158
D30,4,69.154682795615,208.831338540684
D31,4,66.450969921013,215.005882504258
D32,4,48.187823092672,204.279271435157
D33,4,57.2451259807665,205.990669497843
D34,4,58.4766851684811,214.430194623747
D35,4,56.2501935491627,215.008114927453
D36,4,60.7186087355724,209.808047190094
D37,4,57.2528429809223,207.817743531144
D38,4,60.7996196981443,213.640523375474
D39,4,59.5616304507081,214.974353463724
D40,4,60.4056463712987,209.435958234296
D41,4,64.4955957497649,204.340530603076
D42,4,60.0155965995025,210.304623088271
D43,4,57.343881897355,210.282953422854
D44,4,56.450248283222,208.87970661426
D45,4,58.543340203471,207.347150201592
D46,4,61.5,206.513189608051
D47,4,61.5,206.286451304283
D48,4,61.5,213.8557303278
