subject,F0_Hz,shimmer_pct,jitter_pct
S1,153.79797686705652,3.192242519266397,1.06410370178146
S2,173.08353150471305,2.7460383717711654,2.3473306961716904
S3,156.10590478772465,1.7812759038968946,1.215572396146673
S4,228.44598723975668,1.1964118870594147,1.3443975441213396
S5,204.13304092481005,3.234282796562937,1.1984839396447577
S6,167.22005854504852,0.6363979204596882,0.47401080868804835
S7,208.13472877883225,1.3006902401283693,1.146541560959659
S8,168.30434318885733,1.2800002865724818,1.7835983413249332
S9,148.28155985665168,5.159617605981334,1.2381096521247485
S10,198.69008391153486,1.8126512395957586,1.2620532747534325
S11,177.24166507893142,1.1774606054993748,1.3804683185695479
S12,187.16182729941715,2.3237172523974183,1.44387185501016
S13,204.99608114619468,1.9705741464996,0.621291653660542
S14,153.18984559690924,0.7644115416438776,2.541324186295038
S15,191.20460404033554,2.2498620880673217,1.47442650277268
S16,179.5916002123919,1.1690559155433313,1.0568158902770193
S17,141.37534726404837,1.0454472474829455,1.008833479717129
S18,143.9111293434746,0.8861602593653504,0.12353686037238448
S19,128.39982089352122,1.5356991392609747,1.4118241483525822
S20,207.82817343833113,1.8096432494930077,0.5729137766523283
S21,206.46641820925595,3.1358310716743665,0.34564279580867885
S22,157.7006441266252,2.834757762733075,1.211323634395844
S23,200.06238204923648,4.498661266351164,0.5369238519125561
S24,195.79923917462835,1.0253113727545549,1.397180530047912
S25,179.7340315376991,3.073447655303319,1.968972642254017
S26,205.0467576266877,2.4535585526670833,1.5461036702599502
S27,149.71716807929,2.243780297345252,0.681756736625763
S28,188.42038568191506,2.201147141452032,1.5022132988500254
S29,172.38353218797394,1.9215199201206155,1.7069757499358862
S30,187.99605398908616,1.2730882085478283,1.1182777311124168
S31,230.12165871010086,2.0594378858399356,0.7204346960353633
S32,199.63703066521288,3.128629396906338,1.1043328968943353
S33,201.03907567168264,2.3804412399456116,0.6006472321954796
S34,231.01902646888723,1.5439526326707724,1.6174543420423557
S35,231.25158234305874,3.097878968344474,0.7692888849885485
S36,188.76072859459364,1.4584475961053578,0.7228784224004309
S37,214.06657186705664,2.406964712357255,1.3157454940348934
S38,212.90340753143877,4.312844474113994,1.8351252983253326
S39,167.2987395609234,1.6873169985289502,1.4506204999071093
S40,186.29908623162154,4.532986399501455,0.7156070231274302
