subject,group,F0_Hz,jitter_pct
S1,Control,123.70491122017852,0.888363952594304
S2,Control,141.86949116559347,0.9486375552064606
S3,Control,121.8291207747361,0.9025412504308222
S4,Control,149.69133576125998,0.46000037861658766
S5,Control,83.0339672924125,0.5436585451906284
S6,Control,132.68093884015087,1.4170568512251527
S7,Control,110.9029721182844,1.227040951457522
S8,Control,140.53518594825297,0.5335220805320487
S9,Control,134.93000547483177,1.1607813974543206
S10,Control,117.08313422178477,0.5945837400495027
S11,Control,111.10281132781417,0.52498829599336
S12,Control,119.16593489216292,0.7045069565975168
S13,Control,129.19287878790996,0.7376803226315631
S14,Control,122.98888415679448,0.4569557724344648
S15,Control,97.36091177776419,0.8343065813455938
S16,Control,118.19790185474722,1.0095563677825359
S17,Control,142.02968138339492,1.1310776323700722
S18,Control,121.25261540138476,0.6367111066542386
S19,Control,132.30467548308988,0.1
S20,Control,123.21077436677318,1.1740121655067306
S21,Patient,149.37255477565483,1.3046245491996507
S22,Patient,134.37615151705978,2.3300545492980604
S23,Patient,137.01538617938732,2.35498977015345
S24,Patient,130.53759697385235,2.0547302402051106
S25,Patient,127.29910593871342,0.989178395621547
S26,Patient,136.46321323802638,1.2043697914698963
S27,Patient,125.0138706305576,1.2166076602345675
S28,Patient,122.37442967794414,2.522666384974577
S29,Patient,118.15619637988512,2.625456008841774
S30,Patient,158.11171622736722,0.6634683871822178
S31,Patient,100.50399114348686,2.6149903927705425
S32,Patient,105.53149902219032,2.810243047153243
S33,Patient,149.77695783954232,2.845398395240129
S34,Patient,155.97757547560627,2.870605296731401
S35,Patient,173.26340520585322,1.542939427042015
S36,Patient,158.25991686108594,1.2953583906961763
S37,Patient,71.3552465885914,2.776136593434493
S38,Patient,108.96404673600311,2.7921867492926853
S39,Patient,145.85745024551437,2.0345306136899564
S40,Patient,170.47425000127976,3.97922199189776
